Position,Track Name,Artist,Streams,ADMIN
1,Robarte un Beso,Carlos Vives,23101,Ecuador
2,Mayores,Becky G,19380,Ecuador
3,Me Rehúso,Danny Ocean,17602,Ecuador
4,Bonita,J Balvin,16496,Ecuador
5,Vivo Pensando En Ti,Felipe Peláez,16118,Ecuador
6,Suena El Dembow,Joey Montana,16113,Ecuador
7,Mi Gente,J Balvin,16099,Ecuador
8,Báilame - Remix,Nacho,16057,Ecuador
9,Una Lady Como Tú,Manuel Turizo,14966,Ecuador
10,Se Preparó,Ozuna,14000,Ecuador
1,Réseaux,Niska,238677,France
2,Tuba Life,Niska,190636,France
3,Medellín,Niska,170563,France
4,Salé,Niska,166784,France
5,Story X,Niska,139328,France
6,De l'autre côté (feat. Nekfeu),Ninho,136148,France
7,Mamacita,Ninho,125487,France
8,Je pense à toi,Hornet La Frappe,119879,France
9,Caramelo,Ninho,116952,France
10,Basique,Orelsan,116202,France
1,Criminal,Natti Natasha,225860,Argentina
2,Se Preparó,Ozuna,195652,Argentina
3,Me Rehúso,Danny Ocean,162720,Argentina
4,Báilame - Remix,Nacho,158275,Argentina
5,Mayores,Becky G,156117,Argentina
6,Mi Gente,J Balvin,155436,Argentina
7,Bonita,J Balvin,147452,Argentina
8,El Farsante,Ozuna,129373,Argentina
9,Felices los 4,Maluma,120438,Argentina
10,Escápate Conmigo,Wisin,112242,Argentina
1,rockstar,Post Malone,100060,Finland
2,Jumala (Vain elämää kausi 7),Cheek,91660,Finland
3,Sinä ansaitset kultaa (Vain elämää kausi 7),Cheek,64756,Finland
4,Älä jätä roikkuu,JVG,61717,Finland
5,Maailman Laidalla,Mikael Gabriel,57662,Finland
6,Keinu (Vain elämää kausi 7),Jenni Vartiainen,52978,Finland
7,Dusk Till Dawn - Radio Edit,ZAYN,50185,Finland
8,Vahinko (Vain elämää kausi 7),Cheek,49390,Finland
9,Ravistettava ennen käyttöä (Vain elämää kausi 7),SANNI,48634,Finland
10,Timantit on ikuisia (Vain elämää kausi 7),SANNI,45322,Finland
1,rockstar,Post Malone,189004,Norway
2,Stargazing,Kygo,112803,Norway
3,Silence,Marshmello,112490,Norway
4,Dusk Till Dawn - Radio Edit,ZAYN,109817,Norway
5,Think Before I Talk,Astrid S,102561,Norway
6,The Spectre,Alan Walker,97527,Norway
7,Too Good At Goodbyes - Edit,Sam Smith,77978,Norway
8,New Rules,Dua Lipa,76214,Norway
9,Without You (feat. Sandro Cavazza),Avicii,76055,Norway
10,1-800-273-8255,Logic,75176,Norway
1,La musica non c'è,Coez,120016,Italy
2,rockstar,Post Malone,86336,Italy
3,Senza Pagare VS T-Pain,J-AX,83422,Italy
4,Tran Tran,Sfera Ebbasta,74478,Italy
5,Lamborghini,Gue Pequeno,74293,Italy
6,Habibi,Ghali,72952,Italy
7,More Than You Know,Axwell /\ Ingrosso,71568,Italy
8,Mi Gente,J Balvin,70656,Italy
9,New Rules,Dua Lipa,68396,Italy
10,Me Rehúso,Danny Ocean,67893,Italy
1,Too Good At Goodbyes - Edit,Sam Smith,267025,Philippines
2,Perfect,Ed Sheeran,207274,Philippines
3,Young Dumb & Broke,Khalid,194868,Philippines
4,What Lovers Do (feat. SZA),Maroon 5,162117,Philippines
5,New Rules,Dua Lipa,155819,Philippines
6,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,153750,Philippines
7,Look What You Made Me Do,Taylor Swift,141638,Philippines
8,Super Far,LANY,136999,Philippines
