Position,Track Name,Artist,Streams,ADMIN
7,Ya Bu ??ler Ne,Mabel Matiz,36666,Turkey
8,Despacito - Remix,Luis Fonsi,36087,Turkey
9,Yolla,Tarkan,31129,Turkey
10,Shape of You,Ed Sheeran,30548,Turkey
1,Look What You Made Me Do,Taylor Swift,1719876,United States
2,1-800-273-8255,Logic,1413242,United States
3,XO TOUR Llif3,Lil Uzi Vert,1369185,United States
4,Bank Account,21 Savage,1320772,United States
5,Bodak Yellow,Cardi B,1231116,United States
6,Jocelyn Flores,XXXTENTACION,1105110,United States
7,Unforgettable,French Montana,1048598,United States
8,Young Dumb & Broke,Khalid,1044563,United States
9,Sorry Not Sorry,Demi Lovato,1009557,United States
10,Fuck Love (feat. Trippie Redd),XXXTENTACION,961494,United States
1,Mi Gente,J Balvin,7180,El Salvador
2,Una Lady Como Tú,Manuel Turizo,6297,El Salvador
3,Me Rehúso,Danny Ocean,6063,El Salvador
4,Krippy Kush,Farruko,5729,El Salvador
5,Robarte un Beso,Carlos Vives,5666,El Salvador
6,Mayores,Becky G,5318,El Salvador
7,Escápate Conmigo,Wisin,5270,El Salvador
8,Bonita,J Balvin,5198,El Salvador
9,Look What You Made Me Do,Taylor Swift,4991,El Salvador
10,Ahora Dice,Chris Jeday,4775,El Salvador
1,Mi Gente,J Balvin,26873,Costa Rica
2,Una Lady Como Tú,Manuel Turizo,25293,Costa Rica
3,Me Rehúso,Danny Ocean,22127,Costa Rica
4,Escápate Conmigo,Wisin,18406,Costa Rica
5,Ahora Dice,Chris Jeday,17377,Costa Rica
6,Felices los 4,Maluma,16825,Costa Rica
7,Robarte un Beso,Carlos Vives,16277,Costa Rica
8,Shape of You,Ed Sheeran,15817,Costa Rica
9,Look What You Made Me Do,Taylor Swift,15748,Costa Rica
10,Krippy Kush,Farruko,15692,Costa Rica
1,More Than You Know,Axwell /\ Ingrosso,391855,Germany
2,Mi Gente,J Balvin,347527,Germany
3,Look What You Made Me Do,Taylor Swift,289832,Germany
4,Primo,RAF Camora,286330,Germany
5,Unforgettable,French Montana,268750,Germany
6,New Rules,Dua Lipa,261863,Germany
7,Monica Bellucci,RIN,251555,Germany
8,Mama,Jonas Blue,238790,Germany
9,Thunder,Imagine Dragons,236060,Germany
10,Friends (with BloodPop®),Justin Bieber,232602,Germany
1,Mi Gente,J Balvin,171026,Chile
2,Me Rehúso,Danny Ocean,141191,Chile
3,Bonita,J Balvin,132188,Chile
4,Escápate Conmigo,Wisin,122745,Chile
5,Báilame - Remix,Nacho,118495,Chile
6,Felices los 4,Maluma,118298,Chile
7,Bella y Sensual,Romeo Santos,114315,Chile
8,Krippy Kush,Farruko,112250,Chile
9,Mayores,Becky G,106790,Chile
10,Ahora Dice,Chris Jeday,100974,Chile
1,????,DAOKO×????,19004,Japan
2,Look What You Made Me Do,Taylor Swift,18907,Japan
3,Shape of You,Ed Sheeran,18805,Japan
4,Friends (with BloodPop®),Justin Bieber,14265,Japan
5,Despacito - Remix,Luis Fonsi,14033,Japan
6,2U (feat. Justin Bieber),David Guetta,11738,Japan
7,Mama,Jonas Blue,11584,Japan
8,Feels,Calvin Harris,11219,Japan
9,I'm the One,DJ Khaled,11153,Japan
10,New Rules,Dua Lipa,11024,Japan
1,Look What You Made Me Do,Taylor Swift,425132,Brazil
2,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,417206,Brazil
3,Fazer Falta,Mc Livinho,364491,Brazil
4,K.O.,Pabllo Vittar,345102,Brazil
5,Encaixa,MC Kevinho,325580,Brazil
6,Mi Gente,J Balvin,305715,Brazil
7,Paradinha,Anitta,288241,Brazil
8,Deixe Me Ir - Acústico,1Kilo,284528,Brazil
9,Raspão - Ao Vivo,Henrique & Diego,277264,Brazil
10,Cara Bacana,MC G15,277143,Brazil
1,Mi Gente,J Balvin,7252,Honduras
2,Krippy Kush,Farruko,6667,Honduras
3,Me Rehúso,Danny Ocean,6406,Honduras
4,Una Lady Como Tú,Manuel Turizo,5722,Honduras
5,Bonita,J Balvin,5289,Honduras
6,Escápate Conmigo,Wisin,5193,Honduras
7,Mayores,Becky G,5151,Honduras
8,Felices los 4,Maluma,4873,Honduras
9,Robarte un Beso,Carlos Vives,4585,Honduras
10,El Farsante,Ozuna,4454,Honduras
1,Mi Gente,J Balvin,12285,Guatemala
2,Me Rehúso,Danny Ocean,10881,Guatemala
3,Una Lady Como Tú,Manuel Turizo,10796,Guatemala
4,Robarte un Beso,Carlos Vives,9820,Guatemala
5,Escápate Conmigo,Wisin,9760,Guatemala
6,Bonita,J Balvin,8789,Guatemala
7,Felices los 4,Maluma,8483,Guatemala
8,Krippy Kush,Farruko,8024,Guatemala
9,Ahora Dice,Chris Jeday,8002,Guatemala
10,Tú Foto,Ozuna,7748,Guatemala
1,Mi Gente,J Balvin,28213,Switzerland
2,More Than You Know,Axwell /\ Ingrosso,25543,Switzerland
3,Unforgettable,French Montana,23398,Switzerland
4,Look What You Made Me Do,Taylor Swift,20951,Switzerland
5,Thunder,Imagine Dragons,19887,Switzerland
6,Friends (with BloodPop®),Justin Bieber,19581,Switzerland
7,New Rules,Dua Lipa,19449,Switzerland
8,Mama,Jonas Blue,18936,Switzerland
9,Wild Thoughts,DJ Khaled,18640,Switzerland
10,Feels,Calvin Harris,18287,Switzerland
1,Look What You Made Me Do,Taylor Swift,12457,Hungary
2,More Than You Know,Axwell /\ Ingrosso,10896,Hungary
3,New Rules,Dua Lipa,8756,Hungary
4,Mi Gente,J Balvin,8691,Hungary
5,Friends (with BloodPop®),Justin Bieber,8650,Hungary
6,Havana,Camila Cabello,8163,Hungary
7,Mama,Jonas Blue,7801,Hungary
8,Thunder,Imagine Dragons,7637,Hungary
9,Without You (feat. Sandro Cavazza),Avicii,7520,Hungary
10,OK,Robin Schulz,7321,Hungary
1,Look What You Made Me Do,Taylor Swift,197212,Canada
2,Unforgettable,French Montana,154974,Canada
3,Friends (with BloodPop®),Justin Bieber,130941,Canada
4,Mi Gente,J Balvin,126537,Canada
5,XO TOUR Llif3,Lil Uzi Vert,125656,Canada
6,Sorry Not Sorry,Demi Lovato,120405,Canada
7,Silence,Marshmello,119597,Canada
8,Feels,Calvin Harris,118188,Canada
9,Havana,Camila Cabello,115063,Canada
10,Despacito - Remix,Luis Fonsi,114727,Canada
1,Me Rehúso,Danny Ocean,74519,Peru
2,Una Lady Como Tú,Manuel Turizo,73581,Peru
3,Mi Gente,J Balvin,71068,Peru
4,Mayores,Becky G,65712,Peru
5,Felices los 4,Maluma,58554,Peru
6,Robarte un Beso,Carlos Vives,55798,Peru
7,Escápate Conmigo,Wisin,55377,Peru
8,Krippy Kush,Farruko,52588,Peru
9,Bonita,J Balvin,47908,Peru
10,Ahora Dice,Chris Jeday,46574,Peru
1,Here With You,Lost Frequencies,28819,Belgium
2,Mi Gente,J Balvin,28713,Belgium
3,New Rules,Dua Lipa,27550,Belgium
4,Look What You Made Me Do,Taylor Swift,27374,Belgium
5,More Than You Know,Axwell /\ Ingrosso,25511,Belgium
6,Where Did You Go (Summer Love),Regi,24325,Belgium
7,Mama,Jonas Blue,24296,Belgium
8,Friends (with BloodPop®),Justin Bieber,23404,Belgium
9,Krantenwijk,Lil' Kleine,22043,Belgium
10,Feels,Calvin Harris,21937,Belgium
1,Look What You Made Me Do,Taylor Swift,43094,Malaysia
2,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,26304,Malaysia
3,Feels,Calvin Harris,26059,Malaysia
4,New Rules,Dua Lipa,25630,Malaysia
5,Despacito - Remix,Luis Fonsi,24418,Malaysia
6,Attention,Charlie Puth,22824,Malaysia
7,2U (feat. Justin Bieber),David Guetta,21857,Malaysia
8,Friends (with BloodPop®),Justin Bieber,21164,Malaysia
9,Strip That Down,Liam Payne,20759,Malaysia
10,Havana,Camila Cabello,20066,Malaysia
1,Friends (with BloodPop®),Justin Bieber,98565,Denmark
2,Følelsen,KESI,87627,Denmark
3,Mi Gente,J Balvin,83272,Denmark
4,Rica,Gilli,77686,Denmark
5,Comme Ci Comme Ça,Basim,74008,Denmark
6,Lay Lay,PAY,72327,Denmark
7,De Ved Godt,Fouli,68608,Denmark
8,Lyvesangen,Gulddreng,61533,Denmark
9,Unforgettable,French Montana,61292,Denmark
10,New Rules,Dua Lipa,58493,Denmark
1,Mi Gente,J Balvin,10197,Bolivia
2,Me Rehúso,Danny Ocean,8728,Bolivia
3,Una Lady Como Tú,Manuel Turizo,8079,Bolivia
4,Felices los 4,Maluma,7450,Bolivia
5,Robarte un Beso,Carlos Vives,7144,Bolivia
6,Escápate Conmigo,Wisin,6949,Bolivia
7,Bonita,J Balvin,6184,Bolivia
8,Mayores,Becky G,6026,Bolivia
9,Hey DJ,CNCO,5741,Bolivia
10,Krippy Kush,Farruko,5739,Bolivia
1,Look What You Made Me Do,Taylor Swift,52160,Poland
2,More Than You Know,Axwell /\ Ingrosso,39769,Poland
3,Friends (with BloodPop®),Justin Bieber,39034,Poland
4,New Rules,Dua Lipa,35579,Poland
5,Feels,Calvin Harris,35175,Poland
6,Thunder,Imagine Dragons,32891,Poland
7,Mama,Jonas Blue,32792,Poland
8,Mi Gente,J Balvin,31429,Poland
9,2U (feat. Justin Bieber),David Guetta,30889,Poland
10,Candy,Quebonafide,28763,Poland
1,More Than You Know,Axwell /\ Ingrosso,24743,Austria
2,Look What You Made Me Do,Taylor Swift,18194,Austria
3,Mi Gente,J Balvin,17592,Austria
4,Thunder,Imagine Dragons,17139,Austria
5,Friends (with BloodPop®),Justin Bieber,14141,Austria
6,OK,Robin Schulz,14110,Austria
7,Mama,Jonas Blue,14086,Austria
8,New Rules,Dua Lipa,13687,Austria
9,Primo,RAF Camora,13593,Austria
10,I Like Me Better,Lauv,13341,Austria
1,Mi Gente,J Balvin,29090,Portugal
2,Unforgettable,French Montana,24981,Portugal
3,Felices los 4,Maluma,23708,Portugal
4,Look What You Made Me Do,Taylor Swift,22859,Portugal
5,Wild Thoughts,DJ Khaled,22210,Portugal
6,Mama,Jonas Blue,20349,Portugal
7,New Rules,Dua Lipa,19866,Portugal
8,Feels,Calvin Harris,19823,Portugal
9,Friends (with BloodPop®),Justin Bieber,19293,Portugal
10,2U (feat. Justin Bieber),David Guetta,19275,Portugal
1,Without You (feat. Sandro Cavazza),Avicii,321388,Sweden
2,Helt seriöst,Kaliffa,256998,Sweden
3,Friends (with BloodPop®),Justin Bieber,245892,Sweden
4,Lonely Together (feat. Rita Ora),Avicii,211255,Sweden
5,Mi Gente,J Balvin,190149,Sweden
6,Look What You Made Me Do,Taylor Swift,186780,Sweden
7,More Than You Know,Axwell /\ Ingrosso,176851,Sweden
8,Despacito - Remix,Luis Fonsi,175611,Sweden
9,Rich Love (with Seeb),OneRepublic,156549,Sweden
10,Unforgettable,French Montana,155498,Sweden
1,Mi Gente,J Balvin,476991,Mexico
2,Una Lady Como Tú,Manuel Turizo,471043,Mexico
3,Me Rehúso,Danny Ocean,431717,Mexico
4,Bonita,J Balvin,397628,Mexico
5,Felices los 4,Maluma,359466,Mexico
6,Escápate Conmigo,Wisin,332161,Mexico
7,Ahora Dice,Chris Jeday,283023,Mexico
8,Robarte un Beso,Carlos Vives,275355,Mexico
9,Tú Foto,Ozuna,263294,Mexico
10,Look What You Made Me Do,Taylor Swift,246110,Mexico
1,Mi Gente,J Balvin,10380,Panama
2,Robarte un Beso,Carlos Vives,9462,Panama
3,El Farsante,Ozuna,9247,Panama
4,Me Rehúso,Danny Ocean,8643,Panama
5,Escápate Conmigo,Wisin,7951,Panama
6,Una Lady Como Tú,Manuel Turizo,7922,Panama
7,Tú Foto,Ozuna,7882,Panama
8,Krippy Kush,Farruko,7270,Panama
9,Ahora Dice,Chris Jeday,7085,Panama
10,Felices los 4,Maluma,6614,Panama
1,Mi Gente,J Balvin,14873,Uruguay
2,Me Rehúso,Danny Ocean,12742,Uruguay
3,Mayores,Becky G,12235,Uruguay
4,Bonita,J Balvin,10936,Uruguay
5,Felices los 4,Maluma,10245,Uruguay
6,Escápate Conmigo,Wisin,9669,Uruguay
7,Ahora Dice,Chris Jeday,9623,Uruguay
8,Se Preparó,Ozuna,9505,Uruguay
9,Báilame - Remix,Nacho,9158,Uruguay
10,Robarte un Beso,Carlos Vives,8713,Uruguay
1,Ég Vil Það,Chase,14372,Iceland
2,Leika,Floni,8700,Iceland
3,Geri Ekki Neitt (feat. Unnsteinn),Aron Can,7286,Iceland
4,Joey Cypher,Joey Christ,6139,Iceland
5,Friends (with BloodPop®),Justin Bieber,5996,Iceland
6,Unforgettable,French Montana,5236,Iceland
7,Feels,Calvin Harris,4930,Iceland
8,Jocelyn Flores,XXXTENTACION,4698,Iceland
9,Despacito - Remix,Luis Fonsi,4693,Iceland
10,Look What You Made Me Do,Taylor Swift,4551,Iceland
1,Mi Gente,J Balvin,298437,Spain
2,Mayores,Becky G,278204,Spain
3,Me Rehúso,Danny Ocean,250490,Spain
4,Una Lady Como Tú,Manuel Turizo,232087,Spain
5,Felices los 4,Maluma,211526,Spain
6,La isla del Amor (feat. Maki),Demarco Flamenco,194663,Spain
7,Bonita,J Balvin,186520,Spain
8,Báilame - Remix,Nacho,176162,Spain
9,Mala Mujer,C. Tangana,168833,Spain
10,Escápate Conmigo,Wisin,153479,Spain
1,Look What You Made Me Do,Taylor Swift,15150,Czech Republic
2,More Than You Know,Axwell /\ Ingrosso,13941,Czech Republic
3,Thunder,Imagine Dragons,12257,Czech Republic
4,Friends (with BloodPop®),Justin Bieber,12179,Czech Republic
5,Mama,Jonas Blue,10387,Czech Republic
6,Mi Gente,J Balvin,10128,Czech Republic
7,Feels,Calvin Harris,9826,Czech Republic
8,New Rules,Dua Lipa,9401,Czech Republic
9,Havana,Camila Cabello,9375,Czech Republic
10,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,9247,Czech Republic
1,New Rules,Dua Lipa,46741,Ireland
2,Look What You Made Me Do,Taylor Swift,42148,Ireland
3,Unforgettable,French Montana,33411,Ireland
4,Friends (with BloodPop®),Justin Bieber,32602,Ireland
5,Feels,Calvin Harris,30135,Ireland
6,Mi Gente,J Balvin,29866,Ireland
7,Havana,Camila Cabello,28801,Ireland
8,Sorry Not Sorry,Demi Lovato,27273,Ireland
9,Despacito - Remix,Luis Fonsi,27088,Ireland
10,More Than You Know,Axwell /\ Ingrosso,25333,Ireland
1,Mi Gente,J Balvin,202047,Netherlands
2,New Rules,Dua Lipa,189046,Netherlands
3,Lovely Body,SFB,172543,Netherlands
4,Krantenwijk,Lil' Kleine,165043,Netherlands
5,Op De Weg,Equalz,161164,Netherlands
6,Cartier,Dopebwoy,157516,Netherlands
7,Loterij,Lil' Kleine,148140,Netherlands
8,Friends (with BloodPop®),Justin Bieber,148024,Netherlands
9,Feels,Calvin Harris,142576,Netherlands
10,Mama,Jonas Blue,136851,Netherlands
1,Look What You Made Me Do,Taylor Swift,4475,Slovakia
2,More Than You Know,Axwell /\ Ingrosso,3832,Slovakia
3,Friends (with BloodPop®),Justin Bieber,3501,Slovakia
4,Mi Gente,J Balvin,3359,Slovakia
5,Havana,Camila Cabello,3301,Slovakia
6,New Rules,Dua Lipa,3182,Slovakia
7,Thunder,Imagine Dragons,3118,Slovakia
8,Feels,Calvin Harris,2922,Slovakia
9,Mama,Jonas Blue,2919,Slovakia
10,Without You (feat. Sandro Cavazza),Avicii,2639,Slovakia
1,Robarte un Beso,Carlos Vives,61759,Colombia
2,Mi Gente,J Balvin,59177,Colombia
3,Me Rehúso,Danny Ocean,50403,Colombia
4,Bonita,J Balvin,47163,Colombia
5,Escápate Conmigo,Wisin,41708,Colombia
6,Una Lady Como Tú,Manuel Turizo,40610,Colombia
7,Besame,Valentino,38923,Colombia
8,Felices los 4,Maluma,37923,Colombia
9,Ahora Dice,Chris Jeday,35946,Colombia
10,Shape of You,Ed Sheeran,35945,Colombia
1,Look What You Made Me Do,Taylor Swift,61234,Singapore
2,New Rules,Dua Lipa,34574,Singapore
3,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,32490,Singapore
4,Havana,Camila Cabello,31019,Singapore
5,Despacito - Remix,Luis Fonsi,30899,Singapore
6,Friends (with BloodPop®),Justin Bieber,30874,Singapore
7,Attention,Charlie Puth,29879,Singapore
8,Mama,Jonas Blue,28778,Singapore
9,2U (feat. Justin Bieber),David Guetta,27816,Singapore
10,Silence,Marshmello,27151,Singapore
1,Akad,Payung Teduh,148564,Indonesia
2,Look What You Made Me Do,Taylor Swift,86459,Indonesia
3,New Rules,Dua Lipa,68577,Indonesia
4,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,66182,Indonesia
5,Feels,Calvin Harris,58620,Indonesia
6,Attention,Charlie Puth,56936,Indonesia
7,2U (feat. Justin Bieber),David Guetta,54657,Indonesia
8,Mama,Jonas Blue,53756,Indonesia
9,Friends (with BloodPop®),Justin Bieber,51503,Indonesia
10,Havana,Camila Cabello,47735,Indonesia
1,El Farsante,Ozuna,12519,Dominican Republic
2,Krippy Kush,Farruko,11463,Dominican Republic
3,Mi Gente,J Balvin,11435,Dominican Republic
4,Me Rehúso,Danny Ocean,8405,Dominican Republic
5,Se Preparó,Ozuna,8052,Dominican Republic
6,Bebe (feat. Anuel AA),Ozuna,7689,Dominican Republic
7,Escápate Conmigo,Wisin,7353,Dominican Republic
8,Tu No Metes Cabra,Bad Bunny,7305,Dominican Republic
9,Ahora Me Llama,Karol G,7096,Dominican Republic
10,Tú Foto,Ozuna,7071,Dominican Republic
1,New Rules,Dua Lipa,494130,United Kingdom
2,Look What You Made Me Do,Taylor Swift,460323,United Kingdom
3,Unforgettable,French Montana,375758,United Kingdom
4,Feels,Calvin Harris,344270,United Kingdom
5,Friends (with BloodPop®),Justin Bieber,335506,United Kingdom
6,Mi Gente,J Balvin,326938,United Kingdom
7,Wild Thoughts,DJ Khaled,325539,United Kingdom
8,Despacito - Remix,Luis Fonsi,302277,United Kingdom
9,Sorry Not Sorry,Demi Lovato,270335,United Kingdom
10,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,251087,United Kingdom
1,Mi Gente,J Balvin,12633,Paraguay
2,Una Lady Como Tú,Manuel Turizo,12111,Paraguay
3,Me Rehúso,Danny Ocean,11209,Paraguay
4,Escápate Conmigo,Wisin,10242,Paraguay
5,Krippy Kush,Farruko,10092,Paraguay
6,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,9686,Paraguay
7,Ahora Dice,Chris Jeday,9150,Paraguay
8,Bebe (feat. Anuel AA),Ozuna,8934,Paraguay
9,Robarte un Beso,Carlos Vives,8435,Paraguay
10,Felices los 4,Maluma,8090,Paraguay
1,Look What You Made Me Do,Taylor Swift,237752,Australia
2,Glorious (feat. Skylar Grey),Macklemore,190863,Australia
3,Friends (with BloodPop®),Justin Bieber,176538,Australia
4,New Rules,Dua Lipa,173084,Australia
5,Unforgettable,French Montana,169420,Australia
6,Sorry Not Sorry,Demi Lovato,164009,Australia
7,Feels,Calvin Harris,160942,Australia
8,Thunder,Imagine Dragons,148996,Australia
9,Wild Thoughts,DJ Khaled,147008,Australia
10,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,139811,Australia
1,Look What You Made Me Do,Taylor Swift,3995,Latvia
2,New Rules,Dua Lipa,2910,Latvia
3,Friends (with BloodPop®),Justin Bieber,2839,Latvia
4,Unforgettable,French Montana,2823,Latvia
5,Thunder,Imagine Dragons,2739,Latvia
6,More Than You Know,Axwell /\ Ingrosso,2697,Latvia
7,Havana,Camila Cabello,2611,Latvia
8,Mi Gente,J Balvin,2461,Latvia
9,Glorious (feat. Skylar Grey),Macklemore,2456,Latvia
10,Ding Fries Are Done,Aleete,2436,Latvia
1,Look What You Made Me Do,Taylor Swift,8963,Greece
2,New Rules,Dua Lipa,6024,Greece
3,Mi Gente,J Balvin,5492,Greece
4,Havana,Camila Cabello,5449,Greece
5,Friends (with BloodPop®),Justin Bieber,5314,Greece
6,Unforgettable,French Montana,5080,Greece
7,Wild Thoughts,DJ Khaled,4909,Greece
8,Sorry Not Sorry,Demi Lovato,4369,Greece
9,Silence,Marshmello,4084,Greece
10,Mama,Jonas Blue,4083,Greece
1,Look What You Made Me Do,Taylor Swift,24553,Hong Kong
2,Friends (with BloodPop®),Justin Bieber,13329,Hong Kong
3,Despacito - Remix,Luis Fonsi,12784,Hong Kong
4,Havana,Camila Cabello,12310,Hong Kong
5,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,12306,Hong Kong
6,New Rules,Dua Lipa,10733,Hong Kong
7,Sorry Not Sorry,Demi Lovato,10658,Hong Kong
8,Silence,Marshmello,10287,Hong Kong
9,Shape of You,Ed Sheeran,10189,Hong Kong
10,Attention,Charlie Puth,9858,Hong Kong
