name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Private Modern Mission Getaway,Mission,37.76470293,-122.4221973,Entire home/apt,149,1,87,3/9/17,5.6,1,2
Stylish  Garden Apartment,Mission,37.75564467,-122.4114185,Entire home/apt,172,2,51,3/26/17,5.65,2,196
SPACIOUS CONDO AT M1875,Mission,37.76676462,-122.4192121,Entire home/apt,190,30,5,11/22/16,0.33,3,298
Convenient Central Location,Mission,37.77087775,-122.4234898,Private room,100,1,2,10/29/15,0.11,1,0
"Gorgeous Victorian, Trendy Mission",Mission,37.75418875,-122.4158975,Entire home/apt,290,2,36,2/20/17,1.31,2,322
Unique Rm @Mission: Classy+Central,Mission,37.76974154,-122.4238344,Private room,100,30,11,9/23/16,0.31,1,29
Rarely Available! Artist Retreat with Fireplace,Mission,37.75569547,-122.4144864,Entire home/apt,249,4,2,7/31/15,0.1,1,6
Private Room & Bathroom in Mission/Potrero,Mission,37.76478009,-122.4068027,Private room,95,4,1,11/9/16,0.21,1,0
Mission Comfort with High Ceilings,Mission,37.75147569,-122.4091767,Private room,75,1,14,3/15/17,3.85,4,149
Classic SF Mission Victorian Bedroom - BIG & Sunny,Mission,37.75899436,-122.4075427,Private room,80,31,2,1/1/17,0.48,6,257
Sunny Modern Victorian Flat,Mission,37.75504556,-122.4252385,Entire home/apt,1400,4,2,10/7/16,0.11,1,6
Adjoining 2BR in Mission Victorian,Mission,37.76537968,-122.4145571,Private room,195,1,18,2/5/17,0.58,6,313
Private room in heart of mission,Mission,37.76466538,-122.4247075,Private room,120,3,2,9/26/16,0.1,1,178
"Cozy Bedroom, Heart of The Mission",Mission,37.7564906,-122.4144543,Private room,90,2,5,12/31/15,0.28,1,0
Mission Garden Hideaway,Mission,37.75546545,-122.4089539,Entire home/apt,175,2,101,3/14/17,4.5,1,91
"Heart of Mission - 2 bdrm, 1 bath - baby Victorian",Mission,37.75270431,-122.411517,Entire home/apt,210,4,27,3/16/17,3.67,1,157
Lovely bedroom near Dolores Park,Mission,37.76276674,-122.4238285,Private room,130,3,6,1/22/15,0.18,1,330
Private bedroom in heart of Mission,Mission,37.75932619,-122.4190707,Private room,200,2,45,10/9/16,1.39,1,179
"Sunny large bedroom, Mission Distr.",Mission,37.75221477,-122.4071722,Private room,69,5,1,8/8/16,0.13,1,0
Liberty Hill Single Family View Home with Parking,Mission,37.75805135,-122.4225549,Entire home/apt,450,2,9,3/26/17,2.93,1,132
Sunny Mission Home,Mission,37.76157687,-122.422928,Entire home/apt,160,4,14,12/16/16,0.62,1,14
Recent Remodeled Garden Studio Home,Mission,37.75900265,-122.4213177,Entire home/apt,135,30,7,2/20/16,0.26,3,338
Sunny and Modern Apartment in the Mission District,Mission,37.75321807,-122.4138641,Entire home/apt,160,3,32,3/26/17,4.03,1,250
"Beautiful Apartment, Heart of Mission! 2bd/2ba",Mission,37.75979938,-122.4203013,Entire home/apt,250,2,10,12/23/16,0.23,1,2
Mission Sanctuary | Private Room 1,Mission,37.75727525,-122.4084888,Private room,95,4,47,3/26/17,2.87,3,58
2 BR Sun Filled Mission Victorian,Mission,37.75947969,-122.4193283,Entire home/apt,200,3,2,7/7/16,0.22,1,0
Room in the heart of the mission,Mission,37.75827812,-122.4094131,Private room,90,1,1,8/15/14,0.03,4,0
"Edwardian Flat, Mission Dolores",Mission,37.76986546,-122.4255317,Entire home/apt,350,4,5,7/30/16,0.48,2,186
Elegant Private Bedroom 1 min from BART,Mission,37.76495306,-122.4228439,Private room,110,2,44,3/26/17,5.92,2,87
Central Mission Potrero 1BED-1BATH,Mission,37.76515227,-122.4058378,Entire home/apt,125,30,0,,,3,337
Modern Loft in the Mission with Sutro Tower View!,Mission,37.75834501,-122.4117471,Entire home/apt,215,1,12,3/26/17,1.96,2,145
Exquisite Mission / Dolores Park Apartment,Mission,37.76354058,-122.4251715,Private room,110,2,9,3/5/17,3.18,2,355
"Hip, 2- Story Loft in the Mission",Mission,37.7631106,-122.4205266,Private room,462,5,0,,,1,89
Private room in Garden Apt.,Mission,37.76448974,-122.4245924,Private room,122,5,43,3/23/17,1.27,2,167
Garden studio in the Mission - Jimi Hendrix Suite,Mission,37.75488403,-122.4076996,Entire home/apt,147,3,21,3/25/17,2.68,2,69
Cute 1 bedroom in the Mission,Mission,37.76805409,-122.4215238,Entire home/apt,150,2,23,3/19/17,1.39,1,139
"Cozy room in the Mission, 3 blocks to BART",Mission,37.76589579,-122.4233179,Private room,109,3,1,10/7/16,0.17,1,0
Sunny Mission Victorian,Mission,37.76094677,-122.4087226,Private room,120,2,21,10/9/16,1,2,0
Splendid Artist Residency,Mission,37.76428759,-122.4127554,Entire home/apt,169,4,79,3/13/17,2,1,226
BEDROOM-r (all of May & Aug 21--->),Mission,37.75710636,-122.409627,Private room,70,1,15,3/1/17,0.27,4,257
Single room in the Mission,Mission,37.74912718,-122.4157362,Private room,52,3,1,12/3/16,0.25,1,152
2 Bd+loft bed in HOT Victorian Mission district,Mission,37.75335937,-122.4170714,Entire home/apt,175,3,1,3/10/17,1,1,60
Sunny Mission District Apartment,Mission,37.75742612,-122.4094099,Entire home/apt,500,1,0,,,1,0
Mission Mega Queen Bed Sensation,Mission,37.75541523,-122.4070269,Private room,107,25,30,8/21/16,0.38,2,190
"Large, simple, and sunny SF room",Mission,37.75808837,-122.4094916,Private room,90,3,0,,,1,0
Cozy & Sunny Room/Private Bathroom ,Mission,37.74913223,-122.4193964,Private room,145,2,33,3/11/17,0.4,1,144
Room with Private Bathroom in the Mission!,Mission,37.76529085,-122.4237807,Private room,72,3,1,3/20/17,1,2,41
Beautiful Home Near Dolores Park,Mission,37.75817087,-122.4254617,Entire home/apt,350,2,23,10/7/16,0.5,1,155
"Large, private mission bedroom!!",Mission,37.75381651,-122.4146223,Private room,140,1,1,10/12/15,0.06,1,0
Little Cow Palace,Mission,37.75175839,-122.4238845,Private room,800,1,1,10/7/16,0.17,2,0
"Heart of Mission, Best locale in SF",Mission,37.75838137,-122.4181447,Entire home/apt,1666,2,0,,,1,0
Great room in a single family home,Mission,37.75417568,-122.4117034,Private room,75,1,0,,,1,0
Perfect Private Room - Heart of the Mission,Mission,37.76103118,-122.4231313,Private room,129,1,245,3/26/17,6.84,2,76
Woodward Garden Suite,Mission,37.76670126,-122.4199205,Entire home/apt,198,2,10,10/31/16,0.26,1,89
Private room shared bathroom in the Misson,Mission,37.76867992,-122.4240742,Private room,80,4,0,,,1,0
Lux Zen Comfort in Perfect Location,Mission,37.76080782,-122.4247257,Entire home/apt,450,3,0,,,1,0
exquisite  Victorian  on famous St.,Mission,37.75729488,-122.4252516,Private room,209,1,0,,,3,171
Beautiful Modern Apt in the Mission,Mission,37.74946384,-122.4102973,Private room,125,1,0,,,1,0
Modern 2BR apartment in SF's coolest neighborhood,Mission,37.76613148,-122.420829,Entire home/apt,200,6,0,,,1,0
Quiet Artist‰Ûªs Apt in the Mission,Mission,37.75727662,-122.4209736,Entire home/apt,163,5,14,3/3/17,1.1,1,177
Cozy double in Mission Victorian,Mission,37.75056813,-122.4104266,Private room,116,2,51,3/15/17,1.75,2,87
Modern Mission Home - Private Outdoor Patio!,Mission,37.76762598,-122.4232928,Entire home/apt,240,2,0,,,1,3
Valencia Corridor - Master Bedroom,Mission,37.7620613,-122.4220074,Private room,119,3,54,3/9/17,1.65,1,357
Clean furnished room in Mission District Victorian,Mission,37.75069844,-122.421571,Private room,80,3,0,,,1,0
Cozy1br in Perfect Mission Location,Mission,37.74996737,-122.4124087,Private room,89,1,78,2/8/16,3.24,2,0
Private Room: Escape to the Mission,Mission,37.75291582,-122.4187473,Private room,93,2,262,3/27/17,4.7,2,336
Sunny-spacious Mission apartment,Mission,37.74964496,-122.4212794,Entire home/apt,130,10,0,,,1,0
The Green Room ‰ÛÒ with private bath!,Mission,37.75008135,-122.4184093,Private room,188,6,16,1/21/17,0.59,2,317
Private Room on Market @ Guerrero,Mission,37.77099289,-122.4241152,Private room,115,1,0,,,1,0
Modern Inner Mission 2 Bedroom!,Mission,37.76796967,-122.4197506,Entire home/apt,200,30,2,3/22/16,0.14,3,326
BEST Mission location  1 BDR apt Dolores Park,Mission,37.75992964,-122.4255916,Entire home/apt,154,3,10,1/10/17,0.8,1,0
New Studio Apartment in The Mission,Mission,37.75203195,-122.4225433,Entire home/apt,175,1,90,3/1/17,4.17,2,109
Newly Renovated Mission Apartment,Mission,37.7679192,-122.4201876,Private room,200,2,5,7/29/16,0.33,1,365
Very Spacious Sunny Mission Room,Mission,37.76908911,-122.4217075,Private room,83,2,34,3/17/17,0.88,4,3
NEW 3 Bedroom Victorian in the Mission.,Mission,37.75016336,-122.4118471,Entire home/apt,315,3,6,3/27/17,3.46,1,46
Sweeping city views! Best Location,Mission,37.75865034,-122.4252964,Entire home/apt,160,1,13,2/16/17,0.48,1,89
Beautiful Victorian in Noe Valley,Mission,37.75133595,-122.4218832,Entire home/apt,450,3,30,3/24/17,2.18,1,349
"Modern, Cozy, Stellar Location",Mission,37.7533923,-122.4136982,Private room,84,1,107,3/26/17,3.75,3,335
"Cute, cozy Mission District backyard cottage",Mission,37.75806252,-122.4079352,Entire home/apt,150,3,11,3/5/17,1.29,1,96
Rue de la Paix,Mission,37.76171459,-122.4220239,Entire home/apt,100,30,2,6/4/16,0.18,25,365
Amazing Apartment in the Mission!,Mission,37.75967255,-122.416277,Private room,110,5,2,7/31/15,0.07,1,0
Warm & Comfortable & San Francisco Style,Mission,37.75940969,-122.408415,Private room,80,31,1,12/22/16,0.29,6,302
Spacious Mission Victorian,Mission,37.76025311,-122.4071318,Private room,95,2,53,2/19/17,3.33,2,152
Mission Flat w/Deck&Garden,Mission,37.76284331,-122.4244322,Entire home/apt,279,4,8,12/29/16,0.15,2,58
"10min to DREAMFORCE, Sunny Mission Victorian",Mission,37.75530262,-122.4203073,Private room,76,3,3,7/18/16,0.11,1,91
"Mission Sunshine, with Private Bath",Mission,37.7591889,-122.4223669,Private room,149,1,459,3/21/17,4.91,2,327
1BR in Mission Dolores for $55/night!,Mission,37.76361641,-122.4239265,Private room,60,2,1,7/4/16,0.11,2,0
Beautiful luxury house w/ Deck (renting bedroom),Mission,37.75756184,-122.4073059,Private room,110,2,12,10/14/16,1.43,2,91
Mission Apartment with Cactus Byard,Mission,37.76470375,-122.4217387,Entire home/apt,165,2,58,3/26/17,1.26,1,334
Hollywood stay in Mission's heart,Mission,37.76585748,-122.4243219,Private room,90,3,5,3/22/17,1.25,1,23
Beautiful Sunny Valencia / Mission Apartment,Mission,37.7597155,-122.4209252,Entire home/apt,500,2,48,1/29/17,0.94,2,362
Beautiful Spacious apartment in the Noe Valley,Mission,37.75581652,-122.4242125,Entire home/apt,200,3,3,10/4/16,0.42,1,227
"Bright, Spacious Dolores Park Apartment",Mission,37.75882064,-122.4249976,Entire home/apt,210,2,17,3/16/17,2.06,1,287
Light Filled Comfy Queen Bedroom,Mission,37.75692306,-122.4140757,Private room,79,1,1,3/29/17,1,5,0
Spacious Oasis in Vibrant Mission,Mission,37.75129969,-122.4112113,Private room,119,1,6,3/20/17,2.54,2,22
Sunny Simplicity in the Mission,Mission,37.75393355,-122.4172323,Entire home/apt,325,2,68,3/21/17,3.1,1,47
Vibrant Prime Mission Location,Mission,37.75792636,-122.408679,Private room,69,2,0,,,1,0
Quaint Victorian Duplex in the Inner Mission,Mission,37.75489855,-122.4124558,Private room,124,3,1,3/21/17,1,1,83
Sunny Modern Flat - Victorian Charm,Mission,37.75445786,-122.423989,Entire home/apt,299,2,39,3/20/17,1.58,1,351
Spacious 3-bedroom in the Mission,Mission,37.75588748,-122.4093678,Entire home/apt,350,2,3,3/26/17,0.94,1,6
Cute Apartment in Heart of Mission,Mission,37.76621204,-122.4209073,Entire home/apt,500,3,0,,,1,0
Colorful apartment with back patio,Mission,37.76683394,-122.4199602,Private room,70,1,22,3/22/17,5,2,37
"The top of Liberty Hill, near BART",Mission,37.75564583,-122.4241035,Entire home/apt,490,3,40,3/26/17,0.95,1,151
Adorable Studio in HEART of MISSION,Mission,37.75142345,-122.4164662,Entire home/apt,126,10,6,6/28/16,0.57,1,0
Huge light-filled Mission room! 1 block to BART,Mission,37.7530433,-122.4169494,Private room,110,3,5,3/5/17,2.63,2,0
Large designer 2bd/2bth apartment with own yard,Mission,37.7571262,-122.4108266,Entire home/apt,295,2,1,3/19/17,1,1,8
Unique Industrial Feel in The Mission,Mission,37.75010638,-122.4168012,Private room,145,4,12,1/5/17,1.13,2,16
Master Bed/Bath @ Large Mission Apt,Mission,37.75094653,-122.4037794,Private room,140,1,3,11/8/15,0.16,2,0
High Ceiling Victorian/Modern Touch,Mission,37.75319372,-122.4160625,Entire home/apt,153,5,4,1/1/17,0.57,2,10
Great View with Private Deck + Bath,Mission,37.76148735,-122.4087381,Private room,103,2,148,3/2/17,2.55,2,2
Mission Oasis in the Center of It All,Mission,37.75907107,-122.4202138,Entire home/apt,200,2,6,3/1/17,1.26,1,0
Quiet Room with Closet in Heart of the Mission,Mission,37.75061167,-122.409267,Private room,90,1,82,3/31/17,4.62,4,37
Ultra Modern Victorian Era Masterpiece,Mission,37.75747196,-122.4146763,Entire home/apt,575,1,96,3/26/17,8.5,5,156
3.5b/2b Modern DUPLEX in Mission,Mission,37.76815413,-122.4213228,Entire home/apt,450,30,15,9/4/16,1.2,4,359
Cozy & Accessible SF Apartment,Mission,37.76771219,-122.4183692,Private room,66,1,51,3/20/17,8.74,1,4
Authentic Mission Victorian,Mission,37.76004109,-122.4180927,Private room,125,3,59,3/4/17,2.37,2,352
Beautiful Super Bowl 50 Home 2/2.5,Mission,37.76027055,-122.4089231,Entire home/apt,505,2,0,,,1,0
2B Mission District Apartment,Mission,37.7515348,-122.4178214,Entire home/apt,208,2,127,3/21/17,3.75,1,356
Superbowl Special!,Mission,37.77072276,-122.4236758,Entire home/apt,450,3,0,,,1,0
"New! Sunny, Artsy Mission Retreat",Mission,37.75327024,-122.4063559,Entire home/apt,195,3,14,3/12/17,0.94,1,276
Sunny Mission Flat w/ Garden Deck,Mission,37.76952587,-122.4217808,Entire home/apt,197,4,28,11/15/16,0.73,1,262
Welcome to your COZY Mission home!,Mission,37.75088201,-122.4069108,Entire home/apt,140,3,82,11/3/16,1.75,4,357
"Oasis Sunny Vibrant Mission, loft",Mission,37.75821116,-122.4196859,Private room,89,2,73,3/15/17,3.2,2,146
Mission Bedroom(S) w/ Private bath,Mission,37.76878984,-122.417432,Private room,125,2,208,3/30/17,6.12,1,336
"Painted Lady-Katz House, Rm 2",Mission,37.75034972,-122.4245763,Private room,210,2,5,1/30/17,0.27,3,365
Superbowl home away from home,Mission,37.7530514,-122.4234263,Entire home/apt,1500,1,0,,,1,0
"Modern, Spacious 2Br+1Ba Condo in Potrero/Mission",Mission,37.765684,-122.4064963,Entire home/apt,225,1,16,3/26/17,8.89,1,45
Studio apt. in hip mission district,Mission,37.76467038,-122.4228019,Entire home/apt,125,1,205,3/24/17,3,1,16
Studio with private street entrance,Mission,37.75697616,-122.4112585,Entire home/apt,180,3,71,3/13/17,1.64,1,325
Sunny Room in Mission,Mission,37.75008706,-122.420044,Private room,82,3,0,,,1,0
3 bd/3ba Sunny Mission Flat,Mission,37.74840665,-122.4135362,Entire home/apt,600,3,6,9/28/14,0.15,1,0
Mission District 2 bdr flat w/ yard,Mission,37.75785801,-122.4177764,Entire home/apt,350,2,61,3/10/17,2.94,1,238
Private + Spacious 3BD/3BA+Rooftop,Mission,37.75271814,-122.4048036,Entire home/apt,450,1,0,,,2,0
bedroom dbl bed and 1/2 bath,Mission,37.76031861,-122.4095628,Private room,300,1,0,,,1,0
"Trendy Bedroom w/ Attached Bath, Balcony & Views!",Mission,37.7631565,-122.4082978,Private room,100,2,5,3/12/17,1.42,2,3
‰÷_ Walk + Bike + Transit Score 97+ ‰÷Ï,Mission,37.76202152,-122.4233468,Private room,115,2,169,3/26/17,3.52,2,192
"Big, Beautiful Mission-Dolores Flat",Mission,37.76080606,-122.4226972,Entire home/apt,449,3,3,7/26/15,0.11,1,0
Private Entrance & En-suite Bathroom,Mission,37.76010979,-122.4236328,Private room,108,2,246,3/18/17,5.74,1,6
Trendy 2bd/2ba Apt with 360 Views & Rooftop Deck,Mission,37.7642616,-122.408556,Entire home/apt,205,1,6,1/7/17,1.16,2,2
Cozy Hideaway in Mission,Mission,37.7512918,-122.4208732,Private room,75,1,2,1/1/16,0.12,1,0
Sun-filled loft just off 24th st,Mission,37.74995289,-122.4040847,Private room,95,1,6,12/1/15,0.29,1,0
Cozy Condo in Mission Creek,Mission,37.7629504,-122.4066042,Entire home/apt,350,2,1,7/24/16,0.12,1,0
Spacious Bedroom in Mission Dist,Mission,37.75321514,-122.4219727,Private room,75,1,11,3/1/17,1.02,1,23
Room steps from Valencia,Mission,37.76223192,-122.421022,Private room,69,2,111,3/24/17,3.87,2,145
Beautiful Mission District Flat,Mission,37.75345967,-122.4107124,Entire home/apt,190,3,47,3/15/17,2.61,1,286
Sunny 1200 sq ft top floor near Dolores Park,Mission,37.75378961,-122.4247182,Entire home/apt,275,1,1,10/11/16,0.17,2,179
Clean Well Located Mission District Apartment,Mission,37.7575786,-122.4184603,Entire home/apt,190,4,12,3/3/17,0.87,1,34
Designer Flat near Dolores Park,Mission,37.75923215,-122.423039,Entire home/apt,230,25,0,,,1,0
Private Bedroom & Bathroom 1 min from BART,Mission,37.7664538,-122.4233685,Private room,109,2,47,3/18/17,6.41,2,58
2 BR Upper Level Flat in the Mission!,Mission,37.76462392,-122.4067516,Entire home/apt,225,2,33,2/19/17,1.79,1,2
Registered historic mansion,Mission,37.75719643,-122.4236225,Private room,129,1,8,3/10/17,1.24,3,178
Spacious Sunny 2BD Mission Jewel,Mission,37.75770488,-122.4084114,Entire home/apt,170,3,11,9/27/16,0.27,2,12
Sunny charming Mission 1BR next to Valencia & BART,Mission,37.76108211,-122.4199874,Entire home/apt,200,2,26,3/5/17,1.49,1,0
"Modern, Bright Mission District 2bed/2bath Condo",Mission,37.75754868,-122.4168523,Entire home/apt,350,30,33,2/3/17,3.71,1,111
1 bedroom apartment,Mission,37.7545432,-122.4036303,Entire home/apt,139,2,16,3/21/17,2.14,1,333
"Cozy & Well-located ""Mission"" Room",Mission,37.75034196,-122.4175454,Private room,60,5,0,,,1,0
Private Garden Apt in Mission Dist!,Mission,37.76450721,-122.422749,Entire home/apt,199,1,60,3/6/17,4.65,1,76
Mission Room near 24th St.,Mission,37.75441402,-122.4049975,Private room,80,1,1,12/16/16,0.28,1,0
Stunning Dolores Park Home,Mission,37.7605058,-122.423486,Entire home/apt,250,2,15,3/28/17,1.09,1,116
"Private, Authentic Mission Studio",Mission,37.75030932,-122.4190227,Entire home/apt,125,3,102,5/26/15,1.45,1,0
Private Modern Design Mission Rm #2,Mission,37.74821961,-122.4182616,Private room,160,1,35,3/26/17,1.59,3,360
Cool Mission District Apartment,Mission,37.76574542,-122.4248929,Entire home/apt,190,3,43,3/24/17,2.48,1,10
Quiet private room in Mission,Mission,37.75696855,-122.4162597,Private room,145,1,0,,,1,0
Great Private Bedroom & Bath!,Mission,37.7704036,-122.4231933,Private room,149,1,110,3/19/17,8.35,2,0
Purple Palace perched on Potrero,Mission,37.75847047,-122.4073473,Shared room,100,1,0,,,1,0
Superb Apartment w/Patio - SF CA,Mission,37.75972296,-122.4235,Entire home/apt,235,3,122,3/26/17,4.39,1,311
Lovely Family Friendly Mission Flat,Mission,37.75043577,-122.4101017,Entire home/apt,175,5,3,8/9/16,0.14,1,0
"Modern, Spacious condo in Mission Dolores",Mission,37.76804888,-122.42569,Shared room,300,2,1,8/26/16,0.14,1,0
Warehouse room in the Mission,Mission,37.76170253,-122.4182772,Private room,65,5,0,,,1,0
"Quirky and Comfy bedroom, walk to everything fun",Mission,37.75541199,-122.4231231,Private room,200,1,1,7/5/16,0.11,1,0
Cozy room in the Mission,Mission,37.7540608,-122.4084906,Private room,71,1,1,6/3/16,0.1,1,0
"Spacious, sunny home in the Mission",Mission,37.75878163,-122.4076679,Entire home/apt,175,2,10,9/18/16,0.41,1,1
Heart of the mission - 2br Apt.,Mission,37.75844059,-122.4067482,Entire home/apt,250,2,67,3/15/17,5.19,1,310
Bass Guitar Room,Mission,37.75113789,-122.4078503,Private room,30,30,2,3/9/17,1.87,1,182
Light-filled studio in the heart of the Mission,Mission,37.76078107,-122.4207446,Entire home/apt,99,4,3,3/12/17,0.71,1,9
Cozy Bedroom in the Mission,Mission,37.75300157,-122.4039427,Private room,150,1,2,10/13/15,0.09,1,0
Guest Room Francesca Verde,Mission,37.76360058,-122.4059377,Private room,110,1,134,3/31/17,4.01,3,9
Historic Queen Victorian in the Mission District,Mission,37.75807214,-122.4215604,Private room,150,1,2,1/12/17,0.73,1,0
Historic Mission District Victorian,Mission,37.75819708,-122.41983,Private room,115,2,173,3/26/17,5.52,1,354
"Modern, Light-filled & Cozy 1 Bed in Heart of SF",Mission,37.76264964,-122.4082536,Entire home/apt,154,2,0,,,1,32
2 bdrm in the heart of the Mission!,Mission,37.76011809,-122.4201975,Entire home/apt,380,2,0,,,1,0
Sunny & spacious luxury townhome A+ Location,Mission,37.75932101,-122.4226167,Entire home/apt,425,2,24,3/12/17,2.12,1,76
Dolores Park home,Mission,37.75820665,-122.4234604,Private room,150,4,0,,,1,365
Sunny room in the Mission (rooftop),Mission,37.75511605,-122.4080258,Private room,70,1,1,12/6/15,0.06,2,0
"Cozy Room in Victorian House, Mission District",Mission,37.75152098,-122.4085441,Private room,100,1,28,3/31/17,3.57,2,329
"Large, Sunny, Modern Mission Loft",Mission,37.76678759,-122.419233,Entire home/apt,250,14,1,7/27/16,0.12,1,0
19th St & Valencia 2 Bedroom Flat,Mission,37.75995083,-122.4217303,Entire home/apt,275,1,65,1/2/17,1.79,1,34
"Large, Clean Room in Edwardian Mission Flat",Mission,37.74956754,-122.4076155,Private room,80,7,0,,,1,195
Quiet & Roomy Mission Bed + Bath + Private Yard,Mission,37.75031713,-122.4166774,Private room,99,1,101,3/14/17,5.46,4,270
"3BR, 2.5 BA Duplex in SF's Potrero Hill",Mission,37.75686688,-122.4036548,Entire home/apt,325,2,9,1/2/17,1.04,2,0
Luxury Condo w/ Views & Whole Foods,Mission,37.76592346,-122.4062842,Entire home/apt,275,2,40,10/21/16,0.64,1,33
2 Beds in Cozy Mission Room,Mission,37.75828897,-122.4196305,Private room,99,3,64,3/31/17,3.45,3,307
Private Room in Charming Apartment,Mission,37.75649046,-122.421104,Private room,53,1,2,1/14/17,0.7,2,0
Quiet Private Room in Great Mission Location,Mission,37.76837489,-122.4254493,Private room,80,1,1,3/27/17,1,3,57
Unique industrial feel in Mission,Mission,37.74971414,-122.4162278,Private room,115,2,30,3/10/17,2.81,2,52
Quiet Lovely Bedroom in Mission,Mission,37.75850422,-122.4095981,Private room,100,2,1,9/10/16,0.15,1,88
Cozy ground level condo!,Mission,37.75536768,-122.4074915,Entire home/apt,204,1,42,3/18/17,1.97,1,335
Carriage House in the Mission,Mission,37.75282225,-122.4106713,Entire home/apt,150,7,0,,,1,81
Modern Loft in the Mission District,Mission,37.76707598,-122.420244,Entire home/apt,180,4,2,5/26/16,0.18,1,0
Bedroom in Mission Dolores,Mission,37.76880279,-122.4251752,Private room,140,1,1,4/20/15,0.04,1,0
"Simple, spatious, room for 1 or 2 in the Mission",Mission,37.74998949,-122.4169555,Private room,49,7,0,,,1,0
Sunny Fun Spacious 1BR Mission Home,Mission,37.75112314,-122.4060763,Entire home/apt,165,3,3,11/25/16,0.09,1,20
Dolce Vita,Mission,37.76308226,-122.4215514,Entire home/apt,100,30,0,,,25,295
Eco-groovy Room in the Mission!,Mission,37.76795945,-122.4249723,Private room,120,3,43,3/16/17,2.02,4,219
Comfortable and convenient Noe/Mission boarder Apt,Mission,37.74877773,-122.4247902,Entire home/apt,100,1,3,3/24/17,2.57,1,68
Beautiful Apt In The Mission,Mission,37.74957628,-122.421322,Entire home/apt,200,1,18,1/15/17,0.64,1,0
Private room - in Mission House,Mission,37.76041155,-122.4076723,Private room,60,4,3,9/1/16,0.35,3,0
25th/Shotwell Mission District Flat,Mission,37.75078037,-122.4151974,Entire home/apt,250,2,1,1/13/17,0.37,1,38
Large furnished bdrm 16th & Mission,Mission,37.76670197,-122.4181975,Private room,53,1,2,2/19/16,0.14,1,0
Bright and Sunny Mission Apartment,Mission,37.75765729,-122.4113159,Entire home/apt,185,3,29,3/24/17,1.28,1,158
Large room in Valencia/Mission,Mission,37.75936957,-122.4207222,Private room,100,1,3,6/8/16,0.28,1,0
Quiet Mission Master Bedroom w/ private å_ bath,Mission,37.75250775,-122.4123045,Private room,150,1,3,9/22/16,0.44,2,0
Private room in the popular Mission District,Mission,37.76623988,-122.417781,Private room,80,3,1,7/13/16,0.11,1,0
3BR Victorian on Dolores Park,Mission,37.76176009,-122.4249238,Entire home/apt,545,2,13,1/2/17,0.85,1,9
Modern bright Mission Dolores apt,Mission,37.76766435,-122.4245913,Entire home/apt,220,2,8,10/3/16,0.68,1,0
Secret Garden Cottage,Mission,37.75450608,-122.4106733,Entire home/apt,228,1,50,2/21/17,2.4,1,47
Modern 2 br + 2 bath in the Mission,Mission,37.75976362,-122.4233693,Entire home/apt,165,5,2,7/23/15,0.07,1,0
"Modern victorian, 24th St, Mission ",Mission,37.75376649,-122.4103566,Entire home/apt,400,5,13,2/18/17,0.63,1,44
Skylight Private Room in Mission Dolores,Mission,37.76874443,-122.4251457,Private room,69,1,1,3/26/17,1,4,65
"Entire 2 bed 2 bath in Mission, up to 8 people",Mission,37.75964359,-122.419361,Entire home/apt,250,2,0,,,2,14
Large Room in the Mission!,Mission,37.7664458,-122.4232337,Private room,120,3,43,3/4/17,2.06,4,225
Modern Designer Loft in the Mission,Mission,37.75783241,-122.4136781,Entire home/apt,300,2,7,7/27/16,0.59,1,4
"Sunny Room, 1 Block From BART!",Mission,37.75241527,-122.4158797,Private room,59,2,10,1/29/17,2.75,1,0
Prime Mission apartment!,Mission,37.76246867,-122.423918,Private room,120,2,1,10/28/16,0.19,1,91
Loft Studio in the Mission,Mission,37.75598983,-122.4129735,Entire home/apt,150,1,4,1/15/17,0.9,1,68
Modern Private Suite in the Mission,Mission,37.75246783,-122.4117295,Private room,135,2,41,3/26/17,3.99,1,278
Private Room in SF Mission Victorian,Mission,37.75325312,-122.4053275,Private room,75,1,1,3/20/17,1,1,5
30+ Days in the Mission,Mission,37.75750296,-122.4205346,Private room,90,1,8,3/4/17,0.34,5,351
Private Room in perfect location,Mission,37.77069713,-122.4237558,Private room,175,2,11,9/3/16,0.42,2,364
Stylish HUGE Victorian in the heart of the Mission,Mission,37.75041771,-122.415119,Entire home/apt,150,2,2,7/31/16,0.2,1,8
Lovely 3BR Mission Home with Garden,Mission,37.75338256,-122.4063336,Entire home/apt,400,3,29,8/8/16,1.44,1,173
"2 bdrm, 2 bath, 2 story flat",Mission,37.7554379,-122.4236369,Entire home/apt,125,1,2,7/29/15,0.1,1,0
25th and Shotwell/Folsom 1 bedroom,Mission,37.75163627,-122.4139336,Entire home/apt,150,2,43,4/1/17,5.38,1,281
SPACIOUS Mission District Apt! 2/2,Mission,37.75725352,-122.4121011,Entire home/apt,259,1,3,5/22/16,0.13,1,0
2 Bedroom on Mission's best block,Mission,37.76662641,-122.4201955,Entire home/apt,395,30,110,3/3/17,2.52,1,322
Awesome room in Mission,Mission,37.75000064,-122.4231292,Private room,130,6,0,,,1,0
Private bedroom in Mission District,Mission,37.75408511,-122.4092335,Private room,70,5,0,,,1,275
"Spacious, modern, Victorian Suite",Mission,37.75363799,-122.4215408,Private room,140,2,97,3/19/17,3.21,1,245
