time_stamp,day,lighting
7,1,98552.0
8,1,96306.0
9,1,78320.0
10,1,45597.0
11,1,2409.0
12,1,2807.0
13,1,4567.0
14,1,106578.0
15,1,104602.0
16,1,109004.0
17,1,123866.0
18,1,124689.0
19,1,124930.0
20,1,135491.0
21,1,107900.0
22,1,79413.0
23,1,79179.0
24,1,79126.0
1,2,79001.0
2,2,78938.0
3,2,79214.0
4,2,85943.0
5,2,231607.0
6,2,118103.0
7,2,115435.0
8,2,115572.0
9,2,72395.0
10,2,62873.0
11,2,100199.0
12,2,116545.0
13,2,116566.0
14,2,115730.0
15,2,115197.0
16,2,140499.0
17,2,
18,2,128468.0
19,2,96154.0
20,2,77815.0
21,2,77995.0
22,2,78860.0
23,2,77579.0
24,2,78252.0
1,3,79267.0
2,3,79099.0
3,3,78845.0
4,3,154264.0
5,3,188567.0
6,3,117458.0
7,3,2411.0
8,3,2484.0
9,3,2448.0
10,3,2476.0
11,3,2490.0
12,3,2489.0
13,3,2460.0
14,3,2418.0
15,3,116704.0
16,3,134805.0
17,3,190227.0
18,3,138989.0
19,3,77565.0
20,3,77583.0
21,3,78209.0
22,3,78326.0
23,3,78260.0
24,3,78742.0
1,4,78582.0
2,4,78585.0
3,4,78512.0
4,4,131989.0
5,4,178851.0
6,4,44106.0
7,4,2566.0
8,4,2469.0
9,4,2600.0
10,4,2546.0
11,4,2749.0
12,4,2391.0
13,4,2358.0
14,4,2473.0
15,4,1769.0
16,4,
17,4,36913.0
18,4,175309.0
19,4,93998.0
20,4,77968.0
21,4,78045.0
22,4,78392.0
23,4,78220.0
24,4,78599.0
1,5,78602.0
2,5,78277.0
3,5,78036.0
4,5,61724.0
5,5,71543.0
6,5,130405.0
7,5,138694.0
8,5,14408.0
9,5,2536.0
10,5,2573.0
11,5,2479.0
12,5,2542.0
13,5,2152.0
14,5,2216.0
15,5,2415.0
16,5,2517.0
17,5,2523.0
18,5,91056.0
19,5,128536.0
20,5,76646.0
21,5,79184.0
22,5,79508.0
23,5,79912.0
24,5,79976.0
1,6,80043.0
2,6,80006.0
3,6,79775.0
4,6,38230.0
5,6,2503.0
6,6,160523.0
7,6,142517.0
8,6,117089.0
9,6,115753.0
10,6,113467.0
11,6,113256.0
12,6,115580.0
13,6,30438.0
14,6,30105.0
15,6,47048.0
16,6,2603.0
17,6,2588.0
18,6,2482.0
19,6,2606.0
20,6,2450.0
21,6,70253.0
22,6,79265.0
23,6,81768.0
24,6,79670.0
1,7,74087.0
2,7,79938.0
3,7,79577.0
4,7,79419.0
5,7,78681.0
6,7,127219.0
7,7,95069.0
8,7,1839.0
9,7,100437.0
10,7,156144.0
11,7,96356.0
12,7,67319.0
13,7,69720.0
14,7,26019.0
15,7,88776.0
16,7,144533.0
17,7,145136.0
18,7,165122.0
19,7,85934.0
20,7,77697.0
21,7,78698.0
22,7,78706.0
23,7,79058.0
24,7,78737.0
1,8,79073.0
2,8,79147.0
3,8,78968.0
4,8,159254.0
5,8,275669.0
6,8,71221.0
7,8,2541.0
8,8,2648.0
9,8,2200.0
10,8,2343.0
11,8,2650.0
12,8,2622.0
13,8,2650.0
14,8,23143.0
15,8,148818.0
16,8,145919.0
17,8,127732.0
18,8,126028.0
19,8,82306.0
20,8,100191.0
21,8,85191.0
22,8,78158.0
23,8,78330.0
24,8,78389.0
1,9,78424.0
2,9,78429.0
3,9,78375.0
4,9,112851.0
5,9,250483.0
6,9,87664.0
7,9,79861.0
8,9,70962.0
9,9,2177.0
10,9,2475.0
11,9,2689.0
12,9,2645.0
13,9,2513.0
14,9,2693.0
15,9,2670.0
16,9,2996.0
17,9,127575.0
18,9,127367.0
19,9,120513.0
20,9,77136.0
21,9,78602.0
22,9,79021.0
23,9,79533.0
24,9,77757.0
1,10,74010.0
2,10,78965.0
3,10,79292.0
4,10,130904.0
5,10,185369.0
6,10,131659.0
7,10,2502.0
8,10,2692.0
9,10,2617.0
10,10,2579.0
11,10,2682.0
12,10,2522.0
13,10,2700.0
14,10,2598.0
15,10,2689.0
16,10,51860.0
17,10,57644.0
18,10,54919.0
19,10,101675.0
20,10,78105.0
21,10,78389.0
22,10,78305.0
23,10,79031.0
24,10,79373.0
1,11,78918.0
2,11,78706.0
3,11,78470.0
4,11,108471.0
5,11,166464.0
6,11,6342.0
7,11,3069.0
8,11,2656.0
9,11,2711.0
10,11,2603.0
11,11,2674.0
12,11,2741.0
13,11,2583.0
14,11,2691.0
15,11,2701.0
16,11,36621.0
17,11,134567.0
18,11,163014.0
19,11,188441.0
20,11,177964.0
21,11,137995.0
22,11,78532.0
23,11,78645.0
24,11,78888.0
1,12,79112.0
2,12,78893.0
3,12,82239.0
4,12,160745.0
5,12,157108.0
6,12,122499.0
7,12,8489.0
8,12,2444.0
9,12,2607.0
10,12,2532.0
11,12,2561.0
12,12,2618.0
13,12,2604.0
14,12,2646.0
15,12,5690.0
16,12,44093.0
17,12,102680.0
18,12,131895.0
19,12,203681.0
20,12,203900.0
21,12,102459.0
22,12,74987.0
23,12,78753.0
24,12,79184.0
1,13,79324.0
2,13,79066.0
3,13,79371.0
4,13,78957.0
5,13,101660.0
6,13,205184.0
7,13,46544.0
8,13,20852.0
9,13,65570.0
10,13,66387.0
11,13,115691.0
12,13,76402.0
13,13,53574.0
14,13,26727.0
15,13,2369.0
16,13,19702.0
17,13,107128.0
18,13,117906.0
19,13,118075.0
20,13,114960.0
21,13,88694.0
22,13,77752.0
23,13,79293.0
24,13,79678.0
1,14,79806.0
2,14,79857.0
3,14,75903.0
4,14,229462.0
5,14,69887.0
6,14,61959.0
7,14,51920.0
8,14,36659.0
9,14,1455.0
10,14,1054.0
11,14,1266.0
12,14,926.0
13,14,986.0
14,14,23637.0
15,14,75447.0
16,14,136538.0
17,14,144986.0
18,14,143723.0
19,14,144276.0
20,14,122831.0
21,14,77058.0
22,14,77443.0
23,14,78007.0
24,14,77929.0
1,15,77860.0
2,15,77717.0
3,15,77469.0
4,15,77045.0
5,15,93018.0
6,15,1016.0
7,15,1046.0
8,15,980.0
9,15,899.0
10,15,1044.0
11,15,1010.0
12,15,912.0
13,15,1037.0
14,15,1017.0
15,15,1009.0
16,15,906.0
17,15,1031.0
18,15,146653.0
19,15,147310.0
20,15,76219.0
21,15,76913.0
22,15,76656.0
23,15,77238.0
24,15,77249.0
1,16,77202.0
2,16,78164.0
3,16,144605.0
4,16,194183.0
5,16,102494.0
6,16,74951.0
7,16,75969.0
8,16,76057.0
9,16,76062.0
10,16,75782.0
11,16,75797.0
12,16,76372.0
13,16,76279.0
14,16,76428.0
15,16,38809.0
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
24,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
24,18,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,9683.0
9,19,76188.0
10,19,76932.0
11,19,76978.0
12,19,77161.0
13,19,77141.0
14,19,76907.0
15,19,77173.0
16,19,76856.0
17,19,76811.0
18,19,148727.0
19,19,200902.0
20,19,183814.0
21,19,76825.0
22,19,77430.0
23,19,76654.0
24,19,74061.0
1,20,78227.0
2,20,78177.0
3,20,78301.0
4,20,77620.0
5,20,76636.0
6,20,43495.0
7,20,3100.0
8,20,993.0
9,20,1091.0
10,20,906.0
11,20,4602.0
12,20,1012.0
13,20,990.0
14,20,53985.0
15,20,103275.0
16,20,69359.0
17,20,69396.0
18,20,68895.0
19,20,92821.0
20,20,86176.0
21,20,77903.0
22,20,78838.0
23,20,79009.0
24,20,79371.0
1,21,79086.0
2,21,78910.0
3,21,79416.0
4,21,71667.0
5,21,156872.0
6,21,308904.0
7,21,115628.0
8,21,89814.0
9,21,70783.0
10,21,70641.0
11,21,23628.0
12,21,2589.0
13,21,2592.0
14,21,2720.0
15,21,2651.0
16,21,2788.0
17,21,179242.0
18,21,160624.0
19,21,95806.0
20,21,99766.0
21,21,101480.0
22,21,72920.0
23,21,41258.0
