time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,52777.0,25.0,42409.0,41161.0,0.0,3796.0
1,22081.0,0.0,42129.0,41018.0,0.0,3800.0
2,69782.0,38.0,42019.0,41226.0,5.0,3796.0
3,30470.0,25.0,140569.0,68617.0,0.0,30505.0
4,62631.0,76.0,153103.0,237922.0,1002.0,75825.0
5,58512.0,91.0,67215.0,63401.0,111518.0,102139.0
6,62677.0,63.0,39301.0,2614.0,0.0,3644.0
7,59558.0,70.0,39388.0,2659.0,0.0,3636.0
8,31302.0,45.0,38894.0,2534.0,0.0,3600.0
9,35060.0,24.0,38731.0,2567.0,0.0,3600.0
10,61329.0,72.0,39116.0,2641.0,0.0,3636.0
11,19848.0,40.0,20685.0,1375.0,0.0,1928.0
12,3195.0,5.0,783.0,53.0,0.0,68.0
