time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,798.0,0.0,5472.0,9683.0,0.0,484.0
8,26488.0,19.0,41486.0,76188.0,1.0,3800.0
9,63308.0,19.0,41120.0,76932.0,2.0,3796.0
10,15828.0,1.0,40901.0,76978.0,0.0,3800.0
11,53245.0,20.0,41006.0,77161.0,1.0,3796.0
12,48691.0,22.0,40879.0,77141.0,3.0,3796.0
13,133657.0,479.0,41118.0,76907.0,204.0,3796.0
14,116206.0,95.0,41087.0,77173.0,14.0,3800.0
15,63256.0,31.0,41003.0,76856.0,0.0,3796.0
16,34437.0,18.0,41163.0,76811.0,3.0,3800.0
17,72384.0,23.0,57133.0,148727.0,7.5,126884.0
18,8685.0,9.0,86211.0,200902.0,13.0,38338.0
19,57579.0,11.0,87834.0,183814.0,6.0,4079.0
20,57151.0,20.0,41840.0,76825.0,1.0,3796.0
21,56540.0,18.0,42107.0,77430.0,5.0,3800.0
22,45814.0,12.0,41360.0,76654.0,0.0,3752.0
23,13990.0,1.0,40505.0,74061.0,1.0,3612.0
