time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,53829.0,55.0,40750.0,70185.0,0.0,4231.0
1,40226.0,44.0,40851.0,70116.0,0.0,4205.0
2,43574.0,52.0,40790.0,69199.0,0.0,4062.0
3,39249.0,45.0,40869.0,69461.0,0.0,3985.0
4,52112.0,45.0,145292.0,98931.0,5.5,26261.0
5,63121.0,111.0,94993.0,115629.0,0.0,33459.0
6,47200.0,40.0,41678.0,114582.0,0.0,64594.0
7,43349.0,61.0,41012.0,115129.0,2.0,4149.0
8,41525.0,78.0,95095.0,97031.0,4.0,4166.0
9,41423.0,54.0,39009.0,975.0,0.0,3615.0
10,41429.0,59.0,38929.0,961.0,0.0,3612.0
11,42151.0,47.0,43917.0,8339.0,0.0,3780.0
12,43840.0,63.0,92202.0,27399.0,3.0,3909.0
13,192264.0,651.0,65513.0,113846.0,1.0,4350.0
14,72702.0,73.0,51357.0,104518.0,0.0,4411.0
15,60713.0,58.0,69005.0,108899.0,1.0,77845.0
16,63560.0,57.0,63734.0,115946.0,0.0,27395.0
17,49511.0,53.0,60560.0,115749.0,2.0,3897.0
18,55078.0,58.0,51681.0,105917.0,0.0,3991.0
19,48166.0,44.0,41721.0,100915.0,2.0,4273.0
20,47472.0,59.0,41630.0,100084.0,0.0,4520.0
21,47528.0,58.0,41647.0,96581.0,0.0,4619.0
22,47993.0,55.0,41576.0,41619.0,2.0,3800.0
23,46037.0,53.0,41619.0,39962.0,1.0,3804.0
