time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,20330.0,3.0,38410.0,38372.0,0.0,3556.0
1,67012.0,33.0,40660.0,41250.0,0.0,3800.0
2,15257.0,11.0,40474.0,40974.0,0.0,3800.0
3,59207.0,22.0,251313.0,113386.0,32.5,63920.0
4,55801.0,19.0,59989.0,167685.0,2.0,3999.0
5,49924.0,17.0,42269.0,32443.0,0.0,3837.0
6,10201.0,1.0,41103.0,10458.0,0.0,3804.0
7,185930.0,549.0,41247.0,10635.0,0.0,3804.0
8,57663.0,6.0,41101.0,10274.0,0.0,3804.0
9,59696.0,14.0,41064.0,10242.0,0.0,3796.0
10,53548.0,17.0,41066.0,10237.0,0.0,3796.0
11,52569.0,13.0,41060.0,10291.0,0.0,3800.0
12,18729.0,21.0,41092.0,10242.0,0.0,3804.0
13,43122.0,4.0,41097.0,10290.0,0.0,3804.0
14,52613.0,17.0,41097.0,10256.0,0.0,3800.0
15,54322.0,34.0,41196.0,10257.0,0.0,3800.0
16,52186.0,14.0,41267.0,26198.0,2.5,3811.0
17,46590.0,20.0,41220.0,175004.0,0.0,84851.0
18,34258.0,15.0,40858.0,110904.0,0.0,3851.0
19,30403.0,8.0,40989.0,41150.0,0.0,3800.0
20,53262.0,17.0,40511.0,40849.0,2.5,3800.0
21,53737.0,23.0,40739.0,41127.0,0.0,3800.0
22,54271.0,25.0,40494.0,41182.0,4.0,3800.0
23,21642.0,29.0,40564.0,41022.0,13.0,3800.0
