time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,22088.0,3.0,41880.0,78918.0,0.0,3800.0
1,74582.0,27.0,41738.0,78706.0,9.0,3800.0
2,15338.0,14.0,41696.0,78470.0,2.0,3804.0
3,72808.0,30.0,135588.0,108471.0,5.0,50209.0
4,52547.0,7.0,75643.0,166464.0,3.0,27119.0
5,59748.0,32.0,40450.0,6342.0,1.0,35034.0
6,190957.0,526.0,41690.0,3069.0,0.0,3736.0
7,48022.0,3.0,40252.0,2656.0,0.0,3632.0
8,76772.0,32.0,40625.0,2711.0,2.0,3664.0
9,19990.0,12.0,39605.0,2603.0,1.0,3583.0
10,59070.0,12.0,40274.0,2674.0,0.0,3644.0
11,73614.0,38.0,40585.0,2741.0,33.0,3656.0
12,6550.0,5.0,39298.0,2583.0,0.0,3560.0
13,69982.0,20.0,40509.0,2691.0,0.0,3656.0
14,71865.0,39.0,40609.0,2701.0,4.0,3652.0
15,34006.0,30.0,59963.0,36621.0,2.0,3789.0
16,54520.0,12.0,125036.0,134567.0,0.0,4277.0
17,84714.0,68.0,147939.0,163014.0,1.0,73103.0
18,76133.0,32.0,47139.0,188441.0,9.0,3880.0
19,5869.0,1.0,107881.0,177964.0,8.0,3900.0
20,85451.0,83.0,196309.0,137995.0,38.0,4151.0
21,71337.0,32.0,71094.0,78532.0,40.0,3796.0
22,20749.0,21.0,64114.0,78645.0,29.0,3800.0
23,57673.0,9.0,61137.0,78888.0,27.0,3800.0
