time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,46022.0,26.0,40868.0,78602.0,3.0,3800.0
1,42467.0,22.0,40902.0,78277.0,0.0,3800.0
2,10276.0,9.0,41132.0,78036.0,0.0,3800.0
3,53915.0,31.0,40554.0,61724.0,0.0,3768.0
4,28655.0,8.0,42630.0,71543.0,0.0,3730.0
5,52073.0,46.0,82040.0,130405.0,2.5,27792.0
6,44671.0,23.0,116432.0,138694.0,0.0,4274.0
7,47376.0,41.0,64977.0,14408.0,0.0,27622.0
8,49346.0,38.0,39198.0,2536.0,0.0,3624.0
9,45358.0,46.0,39166.0,2573.0,2.0,3620.0
10,14292.0,16.0,38587.0,2479.0,0.0,3576.0
11,44293.0,31.0,39020.0,2542.0,0.0,3616.0
12,42338.0,33.0,69428.0,2152.0,0.0,3592.0
13,50200.0,46.0,63686.0,2216.0,0.0,3624.0
14,47061.0,34.0,50542.0,2415.0,0.0,3624.0
15,50726.0,62.0,44687.0,2517.0,3.0,3628.0
16,28119.0,34.0,42022.0,2523.0,0.0,3596.0
17,49953.0,49.0,41635.0,91056.0,2.5,4085.0
18,26801.0,13.0,41184.0,128536.0,0.0,4259.0
19,49402.0,41.0,39990.0,76646.0,1.0,3696.0
20,54351.0,55.0,40978.0,79184.0,0.0,3804.0
21,46686.0,37.0,41025.0,79508.0,0.0,3796.0
22,38964.0,38.0,41033.0,79912.0,1.0,3800.0
23,30237.0,13.0,41038.0,79976.0,2.5,3800.0
