time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,39259.0,2.0,40351.0,41200.0,0.0,3804.0
1,52743.0,16.0,40655.0,41140.0,0.0,3796.0
2,52653.0,22.0,40722.0,41159.0,0.0,3800.0
3,57354.0,43.0,139189.0,78273.0,17.0,93387.0
4,12822.0,10.0,55177.0,143463.0,0.0,36665.0
5,43966.0,8.0,39096.0,2534.0,0.0,3620.0
6,50772.0,13.0,39024.0,2606.0,0.0,3628.0
7,50028.0,15.0,39092.0,2584.0,0.0,3632.0
8,50199.0,14.0,38607.0,2545.0,0.0,3580.0
9,37197.0,10.0,38893.0,2553.0,0.0,3608.0
10,19091.0,5.0,38653.0,2495.0,0.0,3584.0
11,52898.0,31.0,39100.0,2612.0,4.0,3624.0
12,51358.0,14.0,39014.0,2595.0,2.0,3624.0
13,51670.0,22.0,39121.0,2598.0,0.0,3628.0
14,35794.0,18.0,31670.0,2087.0,1.0,2920.0
15,,,,,,
16,,,,,,
17,20182.0,2.0,29339.0,1919.0,0.0,2732.0
18,51182.0,16.0,39791.0,33333.0,0.0,3731.0
19,52551.0,46.0,41192.0,129259.0,5.0,71999.0
20,52811.0,27.0,40510.0,40975.0,4.0,3800.0
21,22393.0,16.0,40400.0,40976.0,0.0,3800.0
22,35763.0,7.0,40777.0,41124.0,0.0,3804.0
23,51093.0,17.0,40697.0,41197.0,0.0,3800.0
