time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,17366.0,23.0,42038.0,77202.0,5.0,3768.0
1,190655.0,582.0,42580.0,78164.0,207.0,3788.0
2,70389.0,45.0,152355.0,144605.0,28.0,48896.0
3,61640.0,52.0,59792.0,194183.0,64.0,4561.0
4,57697.0,320076.0,41509.0,102494.0,100.0,3936.0
5,41055.0,456017.0,40889.0,74951.0,351.0,3792.0
6,21071.0,169465.0,40797.0,75969.0,9.0,3780.0
7,57402.0,28.0,40904.0,76057.0,1.0,3772.0
8,57023.0,26.0,40925.0,76062.0,4.0,3772.0
9,58356.0,33.0,40792.0,75782.0,1.0,3768.0
10,20834.0,13.0,40711.0,75797.0,1.0,3764.0
11,43005.0,15.0,40912.0,76372.0,1.0,3772.0
12,59075.0,29.0,40817.0,76279.0,1.0,3772.0
13,59104.0,28.0,40909.0,76428.0,5.0,3768.0
14,3294.0,1.0,21134.0,38809.0,0.0,1916.0
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
