time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,57737.0,39.0,42064.0,79806.0,4.0,3800.0
1,54043.0,17.0,42215.0,79857.0,1.0,3800.0
2,50269.0,24.0,42256.0,75903.0,0.0,3800.0
3,47701.0,63.0,157337.0,229462.0,561.5,92898.0
4,21343.0,32.0,47395.0,69887.0,0.0,4453.0
5,76080.0,83.0,42227.0,61959.0,3.0,4228.0
6,14334.0,2.0,40202.0,51920.0,0.0,50938.0
7,59851.0,104.0,41130.0,36659.0,0.0,27554.0
8,185513.0,651.0,40409.0,1455.0,0.0,3728.0
9,67119.0,38.0,39753.0,1054.0,0.0,27497.0
10,64952.0,58.0,135566.0,1266.0,0.0,27602.0
11,56749.0,48.0,64311.0,926.0,0.0,3632.0
12,62811.0,68.0,50849.0,986.0,0.0,3640.0
13,58994.0,69.0,53948.0,23637.0,519220.5,3621.0
14,22011.0,125.0,46011.0,75447.0,490624.5,108717.0
15,47360.0,59.0,45128.0,136538.0,915517.0,8307.0
16,64994.0,66.0,41327.0,144986.0,2.0,3965.0
17,5854.0,0.0,40987.0,143723.0,0.0,3881.0
18,63117.0,54.0,41123.0,144276.0,0.0,3970.0
19,62329.0,94.0,41336.0,122831.0,6.0,76680.0
20,15882.0,24.0,40289.0,77058.0,0.0,3800.0
21,52383.0,33.0,40655.0,77443.0,1.0,3800.0
22,61077.0,56.0,40341.0,78007.0,1.0,3800.0
23,32759.0,28.0,40303.0,77929.0,0.0,3800.0
