time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,54130.0,20.0,41749.0,78227.0,0.0,3804.0
1,53909.0,14.0,41603.0,78177.0,0.0,3800.0
2,52781.0,19.0,41703.0,78301.0,1.0,3801.0
3,40897.0,15.0,41825.0,77620.0,0.0,3800.0
4,28295.0,10.0,41796.0,76636.0,2.0,3796.0
5,43347.0,4.0,41610.0,43495.0,1.0,3732.0
6,53739.0,19.0,42513.0,3100.0,0.0,3584.0
7,51012.0,212.0,54456.0,993.0,101044.0,3700.0
8,63172.0,138.0,129163.0,1091.0,635936.5,14696.0
9,20318.0,12.0,39548.0,906.0,164288.5,3588.0
10,41141.0,6.0,39763.0,4602.0,0.0,3632.0
11,54645.0,27.0,39612.0,1012.0,0.0,3632.0
12,56694.0,27.0,39631.0,990.0,4.0,3632.0
13,55779.0,31.0,42906.0,53985.0,0.0,58222.0
14,5995.0,1.0,43478.0,103275.0,0.0,3921.0
15,55053.0,37.0,41619.0,69359.0,0.0,3910.0
16,53322.0,26.0,41562.0,69396.0,0.0,3962.0
17,54200.0,40.0,41485.0,68895.0,0.0,3834.0
18,52628.0,27.0,64594.0,92821.0,0.0,3859.0
19,48092.0,19.0,139249.0,86176.0,1.0,81925.0
20,6120.0,0.0,41677.0,77903.0,0.0,3800.0
21,59067.0,25.0,41599.0,78838.0,0.0,3800.0
22,53815.0,31.0,41711.0,79009.0,5.0,3800.0
23,54197.0,27.0,41728.0,79371.0,3.0,3800.0
