Company,new_foreign_worker_count
TECUMSEH POULTRY LLC,88
PROKARMA INC,63
"GALLUP, INC.",17
PHYSICIANS MUTUAL,15
UNIVERSITY OF NEBRASKA MEDICAL CENTER,12
UNIVERSITY OF NEBRASKA-LINCOLN,11
BLUECROSS BLUESHIELD OF NEBRASKA,10
KIEWIT CORPORATION,10
"I Q SYSTEMS, INC.",9
WEST CORPORATION,8
UNION PACIFIC RAILROAD,7
"CABELA'S, INC.",7
"WERNER ENTERPRISES, INC.",7
"TELVENT DTN, LLC",6
"FIRST DATA TECHNOLOGIES, INC",6
ACI WORLDWIDE,6
ALEGENT CREIGHTON CLINIC,5
"PAYPAL, INC.",5
UNIVERSITY OF NEBRASKA AT OMAHA,4
CSG SYSTEMS INC.,4
THE PHYSICIAN NETWORK,4
"CELERION, INC.",3
"SHOGUN HS, INC.",3
UNIVERSITY OF NEBRASKA AT KEARNEY,3
"HAYNEEDLE, INC.",3
LINCOLN NATIONAL CORPORATION,3
PS TECHNOLOGY INC.,3
LOZIER CORPORATION,3
FIRST NATIONAL BANK OF OMAHA,3
