Company,new_foreign_worker_count
MUY PIZZA MINNESOTA LLC,58
UNIVERSITY OF MINNESOTA,43
"OPTUM SERVICES, INC.",33
MAYO CLINIC,24
CUMMINS INC.,23
SEAGATE US LLC,21
"MEDTRONIC, INC.",16
OASYS TECHNOLOGIES INC,16
U.S. BANK NATIONAL ASSOCIATION,14
"Ameriprise Financial, Inc.",13
DELOITTE & TOUCHE LLP,11
ST. MARY'S DULUTH CLINIC HEALTH SYSTEM,11
POWEROBJECTS,11
SAGITEC SOLUTIONS LLC,11
SYMANTEC CORPORATION,10
FASTENAL COMPANY PURCHASING,10
"ORACLE AMERICA, INC.",10
"JAVEN TECHNOLOGIES, INC.",10
"Logic Information Systems, Inc.",9
"GENERAL MILLS, INC.",9
SANFORD CLINIC NORTH,8
"NCS PEARSON, INC.",7
DELOITTE CONSULTING LLP,7
FOGO DE CHAO (HOLDINGS) INC.,7
Titan Data Group Inc,7
ECOLAB INC.,7
"STARKEY LABORATORIES, INC.",7
"BEST BUY ENTERPRISE SERVICES, INC.",6
TARGET CORPORATE SERVICES,6
