Company,new_foreign_worker_count
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",232
"NESS USA, INC.",116
DELOITTE CONSULTING LLP,77
"COMCAST CABLE COMMUNICATIONS, LLC",48
THE PENNSYLVANIA STATE UNIVERSITY,45
Home Instead Senior Care,40
"SURE TECH SERVICES, INC.",38
"SAP AMERICA, INC.",36
NOBLESOFT SOLUTIONS INC,33
"TECHDATA SERVICE COMPANY, LLC.",31
VIRGO INC,30
ISYNC SOLUTIONS INC,30
HM HEALTH SOLUTIONS INC.,28
"EPAM SYSTEMS, INC",24
First Consulting Group,21
UNIVERSITY OF PENNSYLVANIA,21
UPMC PRESBYTERIAN SHADYSIDE,21
PVR TECHNOLOGIES INC,19
"EBAY ENTERPRISE, INC.",19
GEISINGER CLINIC,18
QUADGEN WIRELESS SOLUTIONS INC,17
RIGHT CLICK SYSTEMS LLC,15
"LUTRON ELECTRONICS CO., INC.",14
DELOITTE & TOUCHE LLP,14
TITAN TECHNOLOGIES INC,14
TYCO ELECTRONICS CORPORATION,14
"APOGEE MEDICAL GROUP, PENNSYLVANIA, PC",13
AMERISOURCEBERGEN CORPORATION,13
GOOGLE INC.,13
