Company,new_foreign_worker_count
THE UNIVERSITY OF OKLAHOMA,27
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,20
OKLAHOMA STATE UNIVERSITY,8
SKY FOUNDATION,6
SEAGATE US LLC,6
"ONEOK Services Company, L.L.C.",6
DEVON ENERGY CORP,5
"POWER COSTS, INC.",5
"HALLIBURTON ENERGY SERVICES, INC.",4
TULSA HOSPITALISTS INC,4
DECISION TREE CONSULTING LLC,4
NAVICO,4
DEPT OF VETERAN AFFAIRS MEDICAL CENTER,4
"JOHN ZINK COMPANY, LLC",4
COMANCHE COUNTY HOSPITAL AUTHORITY,3
"APMEX, INC.",3
"INTEGRIS HEALTH, INC.",3
"ONE Gas, Inc.",3
ORAL ROBERTS UNIVERSITY,3
PHILLIPS 66,3
CHOCTAW NATION OF OKLAHOMA,3
CHOCTAW NATION HEALTH CENTER,3
DELOITTE CONSULTING LLP,3
JOHN REHKOP / REHKOP FARMS,3
"MERCY CLINIC OKLAHOMA COMMUNITIES, INC.",3
"WILLIAMS WPC-1, LLC",3
CONOCOPHILLIPS COMPANY,2
"LINDE PROCESS PLANTS, INC.",2
SMITH & NEPHEW INC.,2
