Company,new_foreign_worker_count
"RITE PROS, INC",14
EASTERN MAINE MEDICAL CENTER,13
"ST. JOSEPH AMBULATORY CARE, INC.",7
UNIVERSITY OF NEW ENGLAND,5
"IDEXX LABORATORIES, INC.",5
UNIVERSITY OF MAINE,4
"L.L.BEAN, INC.",4
"FAIRCHILD SEMICONDUCTOR INTERNATIONAL, INC.",4
BATES COLLEGE,3
GVS North America,3
BOWDOIN COLLEGE,3
PENOBSCOT VALLEY HOSPITAL,3
CALAIS REGIONAL HOSPITAL,2
ST. MARY'S REGIONAL MEDICAL CENTER,2
Gyawali Inc,2
REDINGTON-FAIRVIEW GENERAL HOSPITAL,2
PINES HEALTH SERVICES,2
"MGA Cast Stone, Inc.",1
"Zajac, LLC",1
PENOBSCOT RESPIRATORY,1
MAINE COMMUNITY COLLEGE SYSTEM,1
Nephrology Associates of Central Maine,1
Shinbashi Inc.,1
Iberdrola USA Management Corporation,1
Miyake LLC,1
"COIS NA TINE, LLC",1
Amici Inc,1
COLBY COLLEGE,1
THAI SMILE & SUSHI RESTAURANT,1
