Company,new_foreign_worker_count
"KOCH FOODS OF ALABAMA, LLC",104
UNIVERSITY OF ALABAMA,24
UNIVERSITY OF ALABAMA AT BIRMINGHAM,23
HYUNDAI POWER TRANSFORMERS USA,23
HOME INSTEAD SENIOR CARE,17
"OUTOKUMPU STAINLESS USA, LLC",11
SEUNG KWANG LLC,9
SOUTHEAST ALABAMA MEDICAL CENTER,9
INTERGRAPH CORPORATION,8
"MOBIS ALABAMA, LLC",8
"SCA, INC.",7
HANTAL ALABAMA CORPORATION,7
"SYS-CON,LLC(SYSCO-ALABAMA,LLC)",7
AUBURN UNIVERSITY,7
HWASHIN AMERICA CORPORATION,7
Professional Resource Management of Wiregrass LLC,7
ISLAND DELIGHT CARIBBEAN RESTAURANT LLC,6
HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,6
SEOHAN AUTO USA CORPORATION,5
"SAEHAESUNG ALABAMA, INC",5
"JOON, LLC D/B/A AJIN USA",4
SMART ALABAMA LLC,4
YESOL CORP.,4
"C&J TECH ALABAMA, INC",4
THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,4
"APOGEE MEDICAL GROUP, ALABAMA, INC.",4
KWANGSUNG AMERICA CORP.,4
INFINITY INSURANCE COMPANY,4
"DAEHAN SOLUTION ALABAMA, LLC",3
