Company,new_foreign_worker_count
"FERRARA FIRE APPARATUS, INC",23
"COMTEC CONSULTANTS, INC",22
EAST BATON ROUGE PARISH SCHOOL BOARD,13
LOUISIANA STATE UNIVERSITY AND A & M COLLEGE,13
"INFOSYS SOLUTIONS, INC.",10
LSU HEALTH SCIENCES CENTER,9
"Bayou Shrimp Processors, Inc.",9
"ST. FRANCIS MEDICAL GROUP, LLC",8
Lakeview Pearl LLC,7
TULANE UNIVERSITY,7
BLUE CROSS AND BLUE SHIELD OF LOUISIANA,5
"CENTURYTEL SERVICE GROUP, LLC",5
"HOSPITAL MEDICINE ASSOCIATES, LLC",4
UNIVERSITY OF LOUISIANA AT MONROE,4
"ALMA PLANTATION, LLC",4
"CHENIERE ENERGY, INC.",4
"INTRALOX, L.L.C.",4
BEAUCOUP CRAWFISH OF EUNICE DBA RICELAND CRAWFISH,4
UMI LLC,4
CADDO PARISH SCHOOL BOARD,4
LOUISIANA TECH UNIVERSITY,4
ST. LANDRY PARISH SCHOOL BOARD,3
"STERLING SUGARS, LLC",3
Toups Farms LLC,3
LA DEPARTMENT OF HEALTH AND HOSPITALS,3
GLOBALSTAR INC.,3
Hynes Charter School Corporation,3
SOUTHEASTERN LOUISIANA UNIVERSITY,3
STEPHANIE JASMIN,3
