Company,new_foreign_worker_count
"V-SOFT CONSULTING GROUP, INC.",182
COOLSOFT LLC,54
HUMANA,48
3B ENTERPRISES DBA HOME INSTEAD SENIOR CARE,44
UNIVERSITY OF KENTUCKY,23
SUMMIT MEDICAL GROUP,8
"PIKEVILLE MEDICAL CENTER, INC.",6
KENTUCKY FARM BUREAU MUTUAL INSURANCE COMPANIES,5
"H3 TECHNOLOGIES, LLC",5
UNIVERSITY OF LOUISVILLE,4
"APPALACHIAN REGIONAL HEALTHCARE, INC",4
"XEROX BUSINESS SERVICES, LLC",4
Pomeroy IT Solutions Sales Company,4
"COMMONWEALTH HEALTH CORPORATION, INC.",4
JEFFERSON COUNTY PUBLIC SCHOOLS,3
TOYOTA BOSHOKU AMERICA,3
Western Kentucky University,3
NORTON HEALTHCARE,2
CAFEPRESS INC.,2
EUROFINS MWG OPERON INC,2
MONTAPLAST OF NORTH AMERICA INC.,2
NORTHERN KENTUCKY UNIVERSITY,2
"TEMPUR-PEDIC MANAGEMENT, LLC",2
EASTERN KENTUCKY UNIVERSITY,2
"Bellarmine University, Inc.",2
FICOSA NORTH AMERICA CORPORATION,2
Bonfiglioli USA,2
INFAC NORTH AMERICA INC,2
"BAPTIST HEALTH MEDICAL GROUP, INC.",2
