Company,new_foreign_worker_count
CUMMINS INC.,265
PURDUE UNIVERSITY,68
CUMMINS EMISSION SOLUTIONS INC.,42
INDIANA UNIVERSITY,31
"LHP SOFTWARE, LLC",28
GDN INFOTECH,24
SALESFORCE.COM,24
"Anthem, Inc.",24
"PYRAMID TECHNOLOGY SOLUTIONS, INC.",21
"PYRAMID TECHNOLOGY SOLUTIONS, INC",18
DELPHI CORPORATION,16
Springleaf General Services Corporation,12
DOW AGROSCIENCES LLC,10
B&D ASSOCIATES LLC,9
BALL STATE UNIVERSITY,9
UNIVERSITY OF NOTRE DAME DU LAC,8
ELI LILLY AND COMPANY,8
"Irons, Inc.",8
TECHNICOLOR CONNECTED HOME USA LLC,7
"DEACONESS HOSPITAL, INC.",7
GYANSYS INC,6
"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR, INC.",6
RCR TECHNOLOGY CORPORATION,6
"IU HEALTH, INC. DBA/ESKENAZI MEDICAL GROUP",6
DATUM CONSULTING GROUP LLC,6
BRITE SYSTEMS,6
"COMMUNITY HEALTH NETWORK, INC.",6
"PARKVIEW HOSPITAL, INC.",6
"APOGEE MEDICAL GROUP, INDIANA, PC",5
