Company,new_foreign_worker_count
WEBILENT TECHNOLOGY INC.,44
"SAGARSOFT, INC",39
CYMA SYSTEMS INC,36
"VLINK, INC.",34
CIGNA HEALTH AND LIFE INSURANCE COMPANY,32
AQR CAPITAL MANAGEMENT,26
YALE UNIVERSITY,24
INFOWAVE SYSTEMS INC,22
AETNA LIFE INSURANCE COMPANY,21
"TALENT IT SERVICES, INC",19
Priceline.com LLC,17
MAGANTI IT RESOURCES LLC,17
"CYIENT, INC.",16
GSS INFOTECH CT INC,14
FACTSET RESEARCH SYSTEMS INC.,14
"ASML US,INC",14
"AIG EMPLOYEE SERVICES, INC.",14
THE TRAVELERS INDEMNITY COMPANY,13
"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC",12
GARTNER INC.,11
"NORTHEAST MEDICAL GROUP, INC.",11
UNIVERSITY OF CONNECTICUT,11
"MCKINSEY & COMPANY, INC UNITED STATES",11
SDG CORPORATION,10
"Anthem, Inc.",9
PITNEY BOWES INC.,9
EMINENT SOFTWARE SERVICES,8
"STARWOOD HOTELS AND RESORTS, INC.",8
"WORLDQUANT, LLC",8
