day,hour,value
1,7,113
1,8,425
1,9,8
1,10,10
1,11,8
1,12,5
1,13,24
1,14,22
1,15,16
1,16,273
1,17,213
1,18,552467
1,19,470791
1,20,83603
1,21,49
1,22,14
1,23,8
1,24,6
2,1,8
2,2,4
2,3,13
2,4,22
2,5,20
2,6,32
2,7,81
2,8,29
2,9,10
2,10,21
2,11,25
2,12,53
2,13,41
2,14,32
2,15,78
2,16,23
2,17,
2,18,61
2,19,34
2,20,17
2,21,31
2,22,23
2,23,25
2,24,515
3,1,107
3,2,33
3,3,17
3,4,40
3,5,34
3,6,31
3,7,26
3,8,13
3,9,29
3,10,29
3,11,32
3,12,27
3,13,23
3,14,25
3,15,29
3,16,26
3,17,10
3,18,42
3,19,60
3,20,36
3,21,47
3,22,45
3,23,28
3,24,4
4,1,40
4,2,57
4,3,38
4,4,25
4,5,69
4,6,60
4,7,55
4,8,6
4,9,64
4,10,47
4,11,95
4,12,45
4,13,52
4,14,43
4,15,0
4,16,
4,17,0
4,18,64
4,19,40
4,20,447
4,21,139
4,22,38
4,23,24
4,24,33
5,1,26
5,2,22
5,3,9
5,4,31
5,5,8
5,6,46
5,7,23
5,8,41
5,9,38
5,10,46
5,11,16
5,12,31
5,13,33
5,14,46
5,15,34
5,16,62
5,17,34
5,18,49
5,19,13
5,20,41
5,21,55
5,22,37
5,23,38
5,24,13
6,1,17
6,2,37
6,3,24
6,4,34
6,5,26
6,6,25
6,7,4
6,8,40
6,9,54
6,10,521974
6,11,458076
6,12,82970
6,13,283
6,14,60
6,15,374
6,16,7
6,17,18
6,18,3
6,19,33
6,20,4
6,21,60
6,22,74
6,23,11
6,24,44
7,1,0
7,2,32
7,3,0
7,4,30
7,5,26
7,6,22
7,7,82
7,8,0
7,9,50
7,10,252
7,11,248
7,12,394
7,13,49
7,14,560571
7,15,418015
7,16,42
7,17,1
7,18,155
7,19,0
7,20,79
7,21,34
7,22,18
7,23,48
7,24,0
8,1,32
8,2,424
8,3,261
8,4,2
8,5,118
8,6,73
8,7,0
8,8,99
8,9,113
8,10,13
8,11,105
8,12,61
8,13,102
8,14,44
8,15,29
8,16,62
8,17,98
8,18,208037
8,19,690646
8,20,185132
8,21,27
8,22,18
8,23,7
8,24,19
9,1,14
9,2,7
9,3,12
9,4,30
9,5,38
9,6,26
9,7,2
9,8,196831
9,9,432324
9,10,4700
9,11,37
9,12,27
9,13,1
9,14,26
9,15,153
9,16,425
9,17,4
9,18,15
9,19,1
9,20,27
9,21,13
9,22,7
9,23,34
9,24,0
10,1,9
10,2,0
10,3,15
10,4,10
10,5,2
10,6,19
10,7,0
10,8,23
10,9,17
10,10,5
10,11,22
10,12,0
10,13,35
10,14,22
10,15,10
10,16,36
10,17,1
10,18,27
10,19,172
10,20,9
10,21,23
10,22,0
10,23,26
10,24,36
11,1,3
11,2,27
11,3,14
11,4,30
11,5,7
11,6,32
11,7,526
11,8,3
11,9,32
11,10,12
11,11,12
11,12,38
11,13,5
11,14,20
11,15,39
11,16,30
11,17,12
11,18,68
11,19,32
11,20,1
11,21,83
11,22,32
11,23,21
11,24,9
12,1,19
12,2,31
12,3,2
12,4,58
12,5,18
12,6,16
12,7,12
12,8,30
12,9,30
12,10,13
12,11,5
12,12,24
12,13,24
12,14,27
12,15,5
12,16,16
12,17,23
12,18,112
12,19,487
12,20,1
12,21,462863
12,22,563353
12,23,84387
12,24,31
13,1,38
13,2,0
13,3,19
13,4,27
13,5,33
13,6,1
13,7,11
13,8,12
13,9,268
13,10,643
13,11,200
13,12,267
13,13,72
13,14,102
13,15,144
13,16,30
13,17,148
13,18,82
13,19,28
13,20,139710
13,21,713301
13,22,213977
13,23,19
13,24,5
14,1,39
14,2,17
14,3,24
14,4,63
14,5,32
14,6,83
14,7,2
14,8,104
14,9,651
14,10,38
14,11,58
14,12,48
14,13,68
14,14,69
14,15,125
14,16,59
14,17,66
14,18,0
14,19,54
14,20,94
14,21,24
14,22,33
14,23,56
14,24,28
15,1,10
15,2,42
15,3,29
15,4,0
15,5,56
15,6,31
15,7,50
15,8,41
15,9,0
15,10,76
15,11,55
15,12,11
15,13,47
15,14,52
15,15,71
15,16,2
15,17,69
15,18,67
15,19,0
15,20,71
15,21,58
15,22,0
15,23,62
15,24,52
16,1,23
16,2,582
16,3,45
16,4,52
16,5,320076
16,6,456017
16,7,169465
16,8,28
16,9,26
16,10,33
16,11,13
16,12,15
16,13,29
16,14,28
16,15,1
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
17,1,14
17,2,16
17,3,3
