day,hour,value
1,7,4.5
1,8,36
1,9,2.5
1,10,0
1,11,0
1,12,32.5
1,13,0
1,14,0
1,15,4
1,16,2
1,17,4
1,18,658
1,19,367
1,20,3
1,21,0
1,22,0
1,23,0
1,24,0
2,1,0
2,2,0
2,3,2
2,4,3
2,5,480
2,6,0
2,7,5.5
2,8,0
2,9,0
2,10,0
2,11,1
2,12,0
2,13,0
2,14,0
2,15,2.5
2,16,0
2,17,
2,18,6
2,19,20
2,20,0
2,21,0
2,22,0
2,23,0
2,24,110
3,1,2.5
3,2,4
3,3,0
3,4,7.5
3,5,0
3,6,2.5
3,7,2
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,1
3,16,0
3,17,3
3,18,3
3,19,0
3,20,2
3,21,5
3,22,4
3,23,0
3,24,0
4,1,0
4,2,6
4,3,1
4,4,2
4,5,5.5
4,6,0
4,7,4
4,8,0
4,9,5.5
4,10,0
4,11,2.5
4,12,0
4,13,0
4,14,0
4,15,0
4,16,
4,17,0
4,18,8
4,19,0
4,20,150
4,21,0
4,22,0
4,23,0
4,24,2.5
5,1,3
5,2,0
5,3,0
5,4,0
5,5,0
5,6,2.5
5,7,0
5,8,0
5,9,0
5,10,2
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,3
5,17,0
5,18,2.5
5,19,0
5,20,1
5,21,0
5,22,0
5,23,1
5,24,2.5
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,436
6,7,101
6,8,0
6,9,0
6,10,724
6,11,541
6,12,8380
6,13,146857
6,14,607908
6,15,1246186
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,613045
6,22,0
6,23,0
6,24,5
7,1,0
7,2,0
7,3,0
7,4,0
7,5,1
7,6,392411.5
7,7,1426957
7,8,0
7,9,0
7,10,102.5
7,11,102.5
7,12,2.5
7,13,0
7,14,454
7,15,271
7,16,15
7,17,0
7,18,6
7,19,0
7,20,2
7,21,1
7,22,2
7,23,2
7,24,0
8,1,1
8,2,158
8,3,68
8,4,9
8,5,495.5
8,6,100
8,7,0
8,8,0
8,9,1
8,10,0
8,11,0
8,12,0
8,13,0
8,14,3
8,15,0
8,16,0
8,17,0
8,18,276
8,19,791
8,20,65
8,21,0
8,22,0
8,23,1
8,24,0
9,1,0
9,2,0
9,3,0
9,4,10
9,5,571
9,6,0
9,7,272
9,8,170.5
9,9,225
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,4
9,21,0
9,22,0
9,23,2.5
9,24,0
10,1,0
10,2,0
10,3,2.5
10,4,7
10,5,1
10,6,5
10,7,0
10,8,0
10,9,0
10,10,0
10,11,1
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,3
10,20,3
10,21,4
10,22,0
10,23,2
10,24,5
11,1,0
11,2,9
11,3,2
11,4,5
11,5,3
11,6,1
11,7,0
11,8,0
11,9,2
11,10,1
11,11,0
11,12,33
11,13,0
11,14,0
11,15,4
11,16,2
11,17,0
11,18,1
11,19,9
11,20,8
11,21,38
11,22,40
11,23,29
11,24,27
12,1,36.5
12,2,40
12,3,37
12,4,25.5
12,5,12
12,6,307.5
12,7,7
12,8,2
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,33
12,17,5
12,18,49
12,19,218
12,20,7
12,21,676
12,22,606
12,23,4
12,24,21
13,1,16
13,2,0
13,3,16
13,4,9
13,5,0
13,6,233
13,7,1
13,8,0
13,9,145924
13,10,1010254
13,11,1088714
13,12,1857414
13,13,523967.5
13,14,70591
13,15,80589
13,16,3
13,17,2.5
13,18,0
13,19,0
13,20,181
13,21,966
13,22,154
13,23,0
13,24,0
14,1,4
14,2,1
14,3,0
14,4,561.5
14,5,0
14,6,3
14,7,0
14,8,0
