day,hour,value
1,7,98552
1,8,96306
1,9,78320
1,10,45597
1,11,2409
1,12,2807
1,13,4567
1,14,106578
1,15,104602
1,16,109004
1,17,123866
1,18,124689
1,19,124930
1,20,135491
1,21,107900
1,22,79413
1,23,79179
1,24,79126
2,1,79001
2,2,78938
2,3,79214
2,4,85943
2,5,231607
2,6,118103
2,7,115435
2,8,115572
2,9,72395
2,10,62873
2,11,100199
2,12,116545
2,13,116566
2,14,115730
2,15,115197
2,16,140499
2,17,
2,18,128468
2,19,96154
2,20,77815
2,21,77995
2,22,78860
2,23,77579
2,24,78252
3,1,79267
3,2,79099
3,3,78845
3,4,154264
3,5,188567
3,6,117458
3,7,2411
3,8,2484
3,9,2448
3,10,2476
3,11,2490
3,12,2489
3,13,2460
3,14,2418
3,15,116704
3,16,134805
3,17,190227
3,18,138989
3,19,77565
3,20,77583
3,21,78209
3,22,78326
3,23,78260
3,24,78742
4,1,78582
4,2,78585
4,3,78512
4,4,131989
4,5,178851
4,6,44106
4,7,2566
4,8,2469
4,9,2600
4,10,2546
4,11,2749
4,12,2391
4,13,2358
4,14,2473
4,15,1769
4,16,
4,17,36913
4,18,175309
4,19,93998
4,20,77968
4,21,78045
4,22,78392
4,23,78220
4,24,78599
5,1,78602
5,2,78277
5,3,78036
5,4,61724
5,5,71543
5,6,130405
5,7,138694
5,8,14408
5,9,2536
5,10,2573
5,11,2479
5,12,2542
5,13,2152
5,14,2216
5,15,2415
5,16,2517
5,17,2523
5,18,91056
5,19,128536
5,20,76646
5,21,79184
5,22,79508
5,23,79912
5,24,79976
6,1,80043
6,2,80006
6,3,79775
6,4,38230
6,5,2503
6,6,160523
6,7,142517
6,8,117089
6,9,115753
6,10,113467
6,11,113256
6,12,115580
6,13,30438
6,14,30105
6,15,47048
6,16,2603
6,17,2588
6,18,2482
6,19,2606
6,20,2450
6,21,70253
6,22,79265
6,23,81768
6,24,79670
7,1,74087
7,2,79938
7,3,79577
7,4,79419
7,5,78681
7,6,127219
7,7,95069
7,8,1839
7,9,100437
7,10,156144
7,11,96356
7,12,67319
7,13,69720
7,14,26019
7,15,88776
7,16,144533
7,17,145136
7,18,165122
7,19,85934
7,20,77697
7,21,78698
7,22,78706
7,23,79058
7,24,78737
8,1,79073
8,2,79147
8,3,78968
8,4,159254
8,5,275669
8,6,71221
8,7,2541
8,8,2648
8,9,2200
8,10,2343
8,11,2650
8,12,2622
8,13,2650
8,14,23143
8,15,148818
8,16,145919
8,17,127732
8,18,126028
8,19,82306
8,20,100191
8,21,85191
8,22,78158
8,23,78330
8,24,78389
9,1,78424
9,2,78429
9,3,78375
9,4,112851
9,5,250483
9,6,87664
9,7,79861
9,8,70962
9,9,2177
9,10,2475
9,11,2689
9,12,2645
9,13,2513
9,14,2693
9,15,2670
9,16,2996
9,17,127575
9,18,127367
9,19,120513
9,20,77136
9,21,78602
9,22,79021
9,23,79533
9,24,77757
10,1,74010
10,2,78965
10,3,79292
10,4,130904
10,5,185369
10,6,131659
10,7,2502
10,8,2692
10,9,2617
10,10,2579
10,11,2682
10,12,2522
10,13,2700
10,14,2598
10,15,2689
10,16,51860
10,17,57644
10,18,54919
10,19,101675
10,20,78105
10,21,78389
10,22,78305
10,23,79031
10,24,79373
11,1,78918
11,2,78706
11,3,78470
11,4,108471
11,5,166464
11,6,6342
11,7,3069
11,8,2656
11,9,2711
11,10,2603
11,11,2674
11,12,2741
11,13,2583
11,14,2691
11,15,2701
11,16,36621
11,17,134567
11,18,163014
11,19,188441
11,20,177964
11,21,137995
11,22,78532
11,23,78645
11,24,78888
12,1,79112
12,2,78893
12,3,82239
12,4,160745
12,5,157108
12,6,122499
12,7,8489
12,8,2444
12,9,2607
12,10,2532
12,11,2561
12,12,2618
12,13,2604
12,14,2646
12,15,5690
12,16,44093
12,17,102680
12,18,131895
12,19,203681
12,20,203900
12,21,102459
12,22,74987
12,23,78753
12,24,79184
13,1,79324
13,2,79066
13,3,79371
13,4,78957
13,5,101660
13,6,205184
13,7,46544
13,8,20852
13,9,65570
13,10,66387
13,11,115691
13,12,76402
13,13,53574
13,14,26727
13,15,2369
13,16,19702
13,17,107128
13,18,117906
13,19,118075
13,20,114960
13,21,88694
13,22,77752
13,23,79293
13,24,79678
14,1,79806
14,2,79857
14,3,75903
14,4,229462
14,5,69887
14,6,61959
14,7,51920
14,8,36659
14,9,1455
14,10,1054
14,11,1266
14,12,926
14,13,986
14,14,23637
14,15,75447
14,16,136538
14,17,144986
14,18,143723
14,19,144276
14,20,122831
14,21,77058
14,22,77443
14,23,78007
14,24,77929
15,1,77860
15,2,77717
15,3,77469
15,4,77045
15,5,93018
15,6,1016
15,7,1046
15,8,980
15,9,899
15,10,1044
15,11,1010
15,12,912
15,13,1037
15,14,1017
15,15,1009
15,16,906
15,17,1031
15,18,146653
15,19,147310
15,20,76219
15,21,76913
15,22,76656
15,23,77238
15,24,77249
16,1,77202
16,2,78164
16,3,144605
16,4,194183
16,5,102494
16,6,74951
16,7,75969
16,8,76057
16,9,76062
16,10,75782
16,11,75797
16,12,76372
16,13,76279
16,14,76428
16,15,38809
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
17,1,41262
17,2,41191
17,3,54482
17,4,112488
17,5,231662
17,6,2514
17,7,89110
17,8,92636
17,9,2488
17,10,2682
17,11,2492
17,12,2594
17,13,2665
17,14,2497
17,15,2669
17,16,2664
17,17,2494
17,18,55484
17,19,40067
17,20,40792
17,21,40822
17,22,40908
17,23,41159
17,24,41193
18,1,78582
18,2,78585
18,3,78512
18,4,131989
18,5,178851
18,6,44106
18,7,2566
18,8,2469
18,9,2600
18,10,2546
18,11,2749
18,12,2391
18,13,2358
18,14,2473
18,15,1769
18,16,
18,17,36913
18,18,175309
18,19,93998
18,20,77968
18,21,78045
18,22,78392
18,23,78220
18,24,78599
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,9683
19,9,76188
19,10,76932
19,11,76978
19,12,77161
19,13,77141
19,14,76907
19,15,77173
19,16,76856
19,17,76811
19,18,148727
19,19,200902
19,20,183814
19,21,76825
19,22,77430
19,23,76654
19,24,74061
20,1,78227
20,2,78177
20,3,78301
20,4,77620
20,5,76636
20,6,43495
20,7,3100
20,8,993
20,9,1091
20,10,906
20,11,4602
20,12,1012
20,13,990
20,14,53985
20,15,103275
20,16,69359
20,17,69396
20,18,68895
20,19,92821
20,20,86176
20,21,77903
20,22,78838
20,23,79009
20,24,79371
21,1,79086
21,2,78910
21,3,79416
21,4,71667
21,5,156872
21,6,308904
21,7,115628
21,8,89814
21,9,70783
21,10,70641
21,11,23628
21,12,2589
21,13,2592
21,14,2720
21,15,2651
21,16,2788
21,17,179242
21,18,160624
21,19,95806
21,20,99766
21,21,101480
21,22,72920
21,23,41258
21,24,41116
22,1,40946
22,2,41219
22,3,71993
22,4,153766
22,5,129395
22,6,202446
22,7,3916
22,8,2649
22,9,2524
22,10,2670
22,11,2649
22,12,2664
22,13,2649
22,14,2612
22,15,2606
22,16,84511
22,17,129913
22,18,120458
22,19,114698
22,20,94981
22,21,79497
22,22,72119
22,23,41168
22,24,40896
23,1,41262
23,2,41191
23,3,54482
23,4,112488
23,5,231662
23,6,2514
23,7,89110
23,8,92636
23,9,2488
23,10,2682
23,11,2492
23,12,2594
23,13,2665
23,14,2497
23,15,2669
23,16,2664
23,17,2494
23,18,55484
23,19,40067
23,20,40792
23,21,40822
23,22,40908
23,23,41159
23,24,41193
24,1,38372
24,2,41250
24,3,40974
24,4,113386
24,5,167685
24,6,32443
24,7,10458
24,8,10635
24,9,10274
24,10,10242
24,11,10237
24,12,10291
24,13,10242
24,14,10290
24,15,10256
24,16,10257
24,17,26198
24,18,175004
24,19,110904
24,20,41150
24,21,40849
24,22,41127
24,23,41182
24,24,41022
25,1,41200
25,2,41140
25,3,41159
25,4,78273
25,5,143463
25,6,2534
25,7,2606
25,8,2584
25,9,2545
25,10,2553
25,11,2495
25,12,2612
25,13,2595
25,14,2598
25,15,2087
25,16,
25,17,
25,18,1919
25,19,33333
25,20,129259
25,21,40975
25,22,40976
25,23,41124
25,24,41197
26,1,41180
26,2,41512
26,3,41467
26,4,52373
26,5,95646
26,6,2655
26,7,2626
26,8,2553
26,9,2587
26,10,2651
26,11,2595
26,12,2571
26,13,2683
26,14,2617
26,15,2613
26,16,71769
26,17,170242
26,18,138171
26,19,134139
26,20,75424
26,21,39773
26,22,44223
26,23,41381
26,24,41129
27,1,41377
27,2,41403
27,3,41344
27,4,41386
27,5,77559
27,6,240410
27,7,102989
27,8,88345
27,9,2618
27,10,62006
27,11,56425
27,12,2663
27,13,6196
27,14,107748
27,15,105526
27,16,117081
27,17,137037
27,18,123847
27,19,104603
27,20,110099
27,21,109171
27,22,44711
27,23,41624
27,24,41480
28,1,41105
28,2,41409
28,3,41271
28,4,43911
28,5,118386
28,6,187444
28,7,204612
28,8,116157
28,9,116401
28,10,116365
28,11,116146
28,12,70591
28,13,63573
28,14,68096
28,15,63510
28,16,87449
28,17,116053
28,18,197984
28,19,63513
28,20,62160
28,21,90567
28,22,41168
28,23,41349
28,24,41190
29,1,40892
29,2,41365
29,3,41312
29,4,45205
29,5,327617
29,6,97410
29,7,66577
29,8,72626
29,9,74515
