Group,Unknown,Unarmed Assault,Facility/Infrastructure Attack,Hostage Taking (Kidnapping),Hostage Taking (Barricade Incident),Hijacking,Bombing/Explosion,Armed Assault,Assassination
Al-Nusrah Front,19,1,1,45,2,0,121,17,4
Al-Qaida,0,0,0,2,0,4,43,2,4
Al-Qaida in Iraq,8,0,5,21,0,0,500,78,23
AQAP,76,1,10,63,5,2,320,270,146
Al-Shabaab,284,7,36,203,14,16,733,668,166
Boko Haram,95,0,124,118,9,3,565,873,52
CPI-Maoist,62,12,250,257,3,6,485,552,39
Fulani Militants,8,1,20,30,0,1,1,212,4
ISIL,256,0,36,340,12,4,1858,248,79
LTTE,11,0,6,28,0,1,314,177,44
LRA,37,2,15,72,0,0,5,104,5
FARC,36,3,100,131,0,8,703,187,57
Taliban,451,29,188,528,14,8,2322,1573,385
TTP,33,4,37,124,7,3,548,292,105
Other,831,153,1509,2163,87,91,8898,5609,790
Unknown,610,208,1825,1862,54,64,29199,10439,3385
