time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
2011-04-18,998457.0,1108055.0,1803399.0,1503336.0,1113.5,539775.0
2011-04-19,1116447.0,1198.0,1157629.0,2358940.0,630.0,411167.0
2011-04-20,1097970.0,793.0,1234689.0,1766586.0,36.5,535087.0
2011-04-21,1105265.0,1481.0,1088088.0,1309990.0,187.0,377186.0
2011-04-22,993582.0,792.0,1182754.0,1288460.0,17.5,138326.0
2011-04-23,1316777.0,1064252.0,1466172.0,1590018.0,2624183.0,382746.0
2011-04-24,1254684.0,980148.0,2477391.0,2154221.0,1820330.0,2159425.0
2011-04-25,1367049.0,1085522.0,1322550.0,1835191.0,1968.5,458494.0
2011-04-26,1318744.0,634754.0,1196237.0,1625411.0,1255.0,521390.0
2011-04-27,1151401.0,519.0,1186947.0,1363081.0,33.5,289240.0
2011-04-28,1404385.0,1088.0,1621054.0,1616467.0,214.0,261045.0
2011-04-29,1359205.0,1111587.0,1437336.0,1734419.0,2086.5,355983.0
2011-04-30,1177977.0,1069137.0,2212482.0,1900866.0,4779035.0,596670.0
2011-05-01,1305262.0,1835.0,1257162.0,1793015.0,1925941.5,481911.0
2011-05-02,1085545.0,952.0,1140410.0,1093254.0,118.5,177400.0
2011-05-03,817966.0,946433.0,727064.0,1319154.0,778.0,100825.0
2011-05-04,,,,,,
2011-05-05,,,,,,
2011-05-06,868057.0,798.0,772225.0,1540243.0,261.5,218925.0
2011-05-07,1112348.0,787.0,1216580.0,1304178.0,901286.0,234030.0
2011-05-08,1352010.0,1118626.0,1388140.0,1950901.0,3795825.0,380065.0
2011-05-09,1438815.0,1037986.0,1208586.0,1442945.0,1228.5,622029.0
2011-05-10,1166698.0,555.0,1080369.0,989015.0,878.5,230187.0
2011-05-11,1202273.0,932.0,1210880.0,1054728.0,56.5,232437.0
2011-05-12,943779.0,374.0,971070.0,699227.0,33.0,270566.0
2011-05-13,1266424.0,1343.0,1078273.0,1054580.0,1986240.0,398828.0
2011-05-14,1336794.0,1073307.0,1435529.0,1847648.0,4117061.0,557179.0
2011-05-15,1214614.0,1274085.0,2120391.0,2150410.0,1182247.0,531539.0
2011-05-16,1413223.0,1136350.0,2754350.0,1899388.0,1620.5,760826.0
2011-05-17,1279036.0,2841.0,1950930.0,2817869.0,1112.0,440551.0
2011-05-18,1092639.0,791248.0,1098434.0,1409473.0,1065.0,440225.0
2011-05-19,1324052.0,1973.0,1365430.0,1901973.0,23.5,306933.0
2011-05-20,1192224.0,417089.0,1278254.0,2798413.0,791797.0,391483.0
2011-05-21,1453493.0,2173.0,1242033.0,1846430.0,329.0,485832.0
2011-05-22,1830302.0,2239994.0,2208728.0,1723395.0,6152928.0,491929.0
2011-05-23,1374826.0,1137068.0,3381476.0,2294169.0,2107.0,659766.0
2011-05-24,569222.0,574.0,704342.0,507788.0,112525.0,239973.0
