Position,Track,Artist,Streams,ADMIN
1,Criminal,Natti Natasha,20958,Ecuador
2,Mayores,Becky G,20870,Ecuador
3,Robarte un Beso,Carlos Vives,20543,Ecuador
4,Suena El Dembow,Joey Montana,19537,Ecuador
5,Se Preparó,Ozuna,18001,Ecuador
6,Que Va,Alex Sensation,17805,Ecuador
7,Me Rehúso,Danny Ocean,15993,Ecuador
8,Besame,Valentino,15694,Ecuador
9,Báilame - Remix,Nacho,15610,Ecuador
10,Perro Fiel,Shakira,14885,Ecuador
1,Mwaka Moon,Kalash,278922,France
2,Salé,Niska,170517,France
3,Réseaux,Niska,154867,France
4,Basique,Orelsan,153803,France
5,Défaite de famille,Orelsan,135624,France
6,rockstar,Post Malone,133983,France
7,Tuba Life,Niska,120448,France
8,Havana,Camila Cabello,113564,France
9,San,Orelsan,112064,France
10,Zone (feat. Nekfeu & Dizzee Rascal),Orelsan,109159,France
1,Criminal,Natti Natasha,239862,Argentina
2,Se Preparó,Ozuna,179630,Argentina
3,Mayores,Becky G,166699,Argentina
4,Báilame - Remix,Nacho,150546,Argentina
5,Vuelve,Daddy Yankee,148953,Argentina
6,Perro Fiel,Shakira,147758,Argentina
7,Que Va,Alex Sensation,145099,Argentina
8,Me Rehúso,Danny Ocean,141046,Argentina
9,Suena El Dembow,Joey Montana,133360,Argentina
10,Bonita,J Balvin,122286,Argentina
1,rockstar,Post Malone,83347,Finland
2,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],SANNI,66255,Finland
3,Wolves,Selena Gomez,57114,Finland
4,Dusk Till Dawn - Radio Edit,ZAYN,51579,Finland
5,Let You Down,NF,50475,Finland
6,Surulapsi (Vain elämää kausi 7),Cheek,47163,Finland
7,Älä jätä roikkuu,JVG,44941,Finland
8,"Kynnet, Kynnet",Pyhimys,43668,Finland
9,Glitteri,Ellinoora,42893,Finland
10,Tornado,Evelina,42135,Finland
1,rockstar,Post Malone,140692,Norway
2,Let You Down,NF,130810,Norway
3,All Falls Down,Alan Walker,122312,Norway
4,Stargazing,Kygo,113691,Norway
5,Wolves,Selena Gomez,109465,Norway
6,Dusk Till Dawn - Radio Edit,ZAYN,100999,Norway
7,Silence,Marshmello,96338,Norway
8,The Spectre,Alan Walker,82153,Norway
9,This Town,Kygo,80609,Norway
10,What Lovers Do,Maroon 5,77855,Norway
1,La musica non c'è,Coez,194189,Italy
2,Sconosciuti da una vita,J-AX,137031,Italy
3,Giovane Fuoriclasse,Capo Plaza,136470,Italy
4,rockstar,Post Malone,117047,Italy
5,Habibi,Ghali,96194,Italy
