time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,35544.0,8.0,39474.0,39826.0,0.0,3800.0
1,52237.0,34.0,39635.0,39817.0,0.0,3796.0
2,173096.0,577.0,39839.0,40506.0,14.0,3801.0
3,83007.0,42.0,39406.0,36503.0,0.0,10524.0
4,65328.0,30.0,182121.0,107893.0,0.0,94938.0
5,58626.0,99.0,41113.0,118926.0,3.0,26191.0
6,52483.0,65.0,41352.0,115852.0,0.0,28281.0
7,42524.0,50.0,40390.0,115912.0,0.0,3883.0
8,64895.0,94.0,41193.0,87944.0,17.0,128786.0
9,55694.0,95.0,57620.0,132174.0,276.0,35161.0
10,27861.0,47.0,91187.0,56460.0,2.0,10570.0
11,35961.0,31.0,41869.0,37856.0,0.0,3720.0
12,65540.0,112.0,41271.0,2801.0,4.0,18037.0
13,51535.0,63.0,40150.0,2615.0,0.0,3628.0
14,58467.0,68.0,39604.0,16564.0,0.0,3676.0
15,56881.0,81.0,72752.0,112648.0,7.0,3800.0
16,59129.0,92.0,57438.0,91261.0,1.0,3779.0
17,67412.0,117.0,41550.0,107670.0,3.0,75076.0
18,79600.0,104.0,41431.0,115212.0,0.0,4093.0
19,42435.0,51.0,41248.0,143969.0,0.0,4237.0
20,57266.0,77.0,41186.0,143541.0,0.0,4347.0
21,58092.0,69.0,43451.0,98897.0,0.0,4172.0
22,38430.0,48.0,44040.0,40350.0,0.0,3736.0
23,71450.0,119.0,42713.0,41233.0,2.0,3800.0
