time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,88785.0,25.0,41905.0,41331.0,0.0,3804.0
1,65676.0,21.0,42107.0,41266.0,44.0,3800.0
2,27179.0,14.0,41777.0,40980.0,0.0,3796.0
3,42597.0,6.0,98613.0,53310.0,10.0,24538.0
4,72895.0,43.0,113456.0,187944.0,2.5,80285.0
5,68242.0,41.0,42485.0,77778.0,0.0,70073.0
6,2367.0,0.0,15307.0,84506.0,211.0,1608.0
7,2896.0,0.0,32506.0,34069.0,0.0,1946.0
8,63918.0,68.0,64810.0,72111.0,0.0,4083.0
9,67164.0,66.0,83039.0,72115.0,0.0,4123.0
10,55305.0,20.0,61538.0,56098.0,7.5,27891.0
11,8544.0,0.0,45281.0,116138.0,0.0,4145.0
12,56820.0,34.0,49164.0,116360.0,1.0,4165.0
13,57084.0,23.0,85578.0,116479.0,1.0,4156.0
14,57675.0,27.0,88157.0,116160.0,0.0,4047.0
15,109514.0,351.0,1581727.0,299452.0,260.5,208067.0
16,197051.0,405.0,568400.0,217932.0,265.5,69150.0
17,38778.0,25.0,70642.0,155740.0,0.0,49525.0
18,59973.0,21.0,43501.0,162150.0,0.0,71536.0
19,6039.0,260994.0,42911.0,70640.0,362.0,3940.0
20,80261.0,703630.0,42360.0,37258.0,865.0,3696.0
21,68812.0,171236.0,42124.0,42194.0,77.0,3796.0
22,6549.0,0.0,42014.0,40909.0,0.0,3800.0
23,70702.0,18.0,42074.0,41249.0,0.0,3796.0
