time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,46479.0,480001.0,41569.0,39537.0,606.0,3720.0
1,48894.0,310139.0,40556.0,38077.0,172.0,3776.0
2,46826.0,38.0,39774.0,39487.0,0.0,3800.0
3,46249.0,22.0,157445.0,122824.0,23.5,116953.0
4,41240.0,36.0,59477.0,214660.0,7.0,4140.0
5,47383.0,78.0,39288.0,31798.0,0.0,35203.0
6,43527.0,49.0,38526.0,969.0,0.0,3616.0
7,39836.0,42.0,38517.0,957.0,0.0,3612.0
8,43127.0,51.0,38592.0,973.0,0.0,3616.0
9,40656.0,49.0,38870.0,995.0,0.0,51938.0
10,44114.0,56.0,39749.0,967.0,0.0,3620.0
11,42944.0,57.0,38575.0,975.0,3.0,3616.0
12,41394.0,37.0,38550.0,978.0,0.0,3612.0
13,42738.0,56.0,38528.0,968.0,5.5,3604.0
14,41264.0,44.0,38530.0,974.0,0.0,3608.0
15,38275.0,34.0,39655.0,105390.0,245.0,3712.0
16,50762.0,62.0,39303.0,34755.0,0.0,3722.0
17,67970.0,65.0,49156.0,171191.0,3.0,91338.0
18,26780.0,27.0,40539.0,163908.0,0.0,4216.0
19,67461.0,82.0,40885.0,159316.0,0.0,72468.0
20,41013.0,38.0,40571.0,69530.0,0.0,3967.0
21,41246.0,45.0,40645.0,70108.0,0.0,4048.0
22,41086.0,52.0,40513.0,69905.0,0.0,4126.0
23,61375.0,88.0,40621.0,70231.0,0.0,4194.0
