time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,45883.0,8.0,43922.0,79001.0,0.0,3792.0
1,19211.0,4.0,43061.0,78938.0,0.0,3796.0
2,50929.0,13.0,43495.0,79214.0,2.0,3804.0
3,47805.0,22.0,43184.0,85943.0,3.0,3800.0
4,56636.0,20.0,146832.0,231607.0,480.0,97972.0
5,53576.0,32.0,41170.0,118103.0,0.0,4090.0
6,54557.0,81.0,41111.0,115435.0,5.5,55171.0
7,47288.0,29.0,40988.0,115572.0,0.0,3986.0
8,15708.0,10.0,41045.0,72395.0,0.0,7266.0
9,45792.0,21.0,40627.0,62873.0,0.0,4124.0
10,46914.0,25.0,40884.0,100199.0,1.0,4063.0
11,54161.0,53.0,41004.0,116545.0,0.0,4125.0
12,47157.0,41.0,49258.0,116566.0,0.0,4166.0
13,48842.0,32.0,67576.0,115730.0,0.0,4148.0
14,50888.0,78.0,78439.0,115197.0,2.5,89133.0
15,47134.0,23.0,69722.0,140499.0,0.0,3109.0
16,,,,,,
17,48688.0,61.0,33864.0,128468.0,6.0,17160.0
18,28347.0,34.0,42334.0,96154.0,20.0,78582.0
19,34272.0,17.0,42086.0,77815.0,0.0,3800.0
20,43743.0,31.0,41907.0,77995.0,0.0,3796.0
21,48413.0,23.0,41830.0,78860.0,0.0,3800.0
22,46677.0,25.0,40755.0,77579.0,0.0,3732.0
23,133826.0,515.0,42535.0,78252.0,110.0,3752.0
