time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,72439.0,32.0,42067.0,79073.0,1.0,3800.0
1,118195.0,424.0,42400.0,79147.0,158.0,3800.0
2,157155.0,261.0,42349.0,78968.0,68.0,3800.0
3,16082.0,2.0,53978.0,159254.0,9.0,3882.0
4,75170.0,118.0,142754.0,275669.0,495.5,109418.0
5,67552.0,73.0,42692.0,71221.0,100.0,80796.0
6,5425.0,0.0,39556.0,2541.0,0.0,3568.0
7,74236.0,99.0,40878.0,2648.0,0.0,3656.0
8,63760.0,113.0,80955.0,2200.0,1.0,3640.0
9,14655.0,13.0,52611.0,2343.0,0.0,13207.0
10,70666.0,105.0,39700.0,2650.0,0.0,3660.0
11,57014.0,61.0,39380.0,2622.0,0.0,3632.0
12,76483.0,102.0,49495.0,2650.0,0.0,3656.0
13,28414.0,44.0,48591.0,23143.0,3.0,3700.0
14,41387.0,29.0,66152.0,148818.0,0.0,4540.0
15,30432.0,62.0,85739.0,145919.0,0.0,4483.0
16,59721.0,98.0,82817.0,127732.0,0.0,84043.0
17,66621.0,208037.0,65529.0,126028.0,276.0,98452.0
18,31211.0,690646.0,53548.0,82306.0,791.0,3671.0
19,40930.0,185132.0,42657.0,100191.0,65.0,3874.0
20,64984.0,27.0,42676.0,85191.0,0.0,3820.0
21,32453.0,18.0,42116.0,78158.0,0.0,3796.0
22,39606.0,7.0,42018.0,78330.0,1.0,3800.0
23,62458.0,19.0,41892.0,78389.0,0.0,3800.0
