time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,50616.0,32.0,40674.0,41180.0,2.0,3800.0
1,134120.0,484.0,41288.0,41512.0,3.0,3800.0
2,106108.0,55.0,40551.0,41467.0,0.0,3800.0
3,38825.0,17.0,116336.0,52373.0,0.0,29072.0
4,48903.0,32.0,71854.0,95646.0,1.0,107069.0
5,63397.0,26.0,38967.0,2655.0,3.0,3644.0
6,62006.0,20.0,38920.0,2626.0,0.0,3644.0
7,31779.0,16.0,38424.0,2553.0,0.0,3604.0
8,38270.0,3.0,38673.0,2587.0,0.0,3616.0
9,63615.0,14.0,38868.0,2651.0,0.0,3644.0
10,46270.0,18.0,38599.0,2595.0,0.0,3620.0
11,25862.0,2.0,38363.0,2571.0,0.0,3600.0
12,67378.0,24.0,38986.0,2683.0,0.0,3652.0
13,46527.0,20.0,38598.0,2617.0,0.0,3624.0
14,26796.0,0.0,38431.0,2613.0,0.0,3600.0
15,67939.0,20.0,39790.0,71769.0,63.5,3871.0
16,36775.0,8.0,40410.0,170242.0,68.0,4180.0
17,36932.0,2.0,40496.0,138171.0,4.0,4035.0
18,66146.0,13.0,40672.0,134139.0,7.0,4010.0
19,62739.0,339.0,53666.0,75424.0,900440.5,183835.0
20,6023.0,152.0,43177.0,39773.0,1085648.0,3712.0
21,66410.0,31.0,41246.0,44223.0,0.0,3800.0
22,65683.0,15.0,40673.0,41381.0,0.0,3800.0
23,7305.0,0.0,40611.0,41129.0,0.0,3796.0
