time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,6629.0,3.0,41670.0,41105.0,0.0,3800.0
1,70277.0,19.0,41660.0,41409.0,0.0,3800.0
2,52683.0,16.0,41538.0,41271.0,0.0,3800.0
3,37585.0,27.0,144794.0,43911.0,0.0,27742.0
4,51916.0,83.0,174758.0,118386.0,0.0,10792.0
5,33369.0,41.0,51965.0,187444.0,264325.0,4098.0
6,80626.0,96.0,101603.0,204612.0,916056.0,66025.0
7,6081.0,0.0,43393.0,116157.0,0.0,4007.0
8,69522.0,131.0,41991.0,116401.0,12.0,4157.0
9,46503.0,68.0,122461.0,116365.0,0.0,35744.0
10,63739.0,95.0,52889.0,116146.0,0.0,27222.0
11,17906.0,46.0,77663.0,70591.0,7.0,26387.0
12,82138.0,128.0,64055.0,63573.0,3.0,4131.0
13,43643.0,47.0,48106.0,68096.0,0.0,3970.0
14,38870.0,97.0,41663.0,63510.0,6.0,3896.0
15,95035.0,222.0,252727.0,87449.0,1.0,130301.0
16,72914.0,287.0,352469.0,116053.0,5.0,118840.0
17,29990.0,27.0,72266.0,197984.0,347.0,4040.0
18,22766.0,151.0,66216.0,63513.0,44.0,4100.0
19,80981.0,542356.0,58582.0,62160.0,603.0,28960.0
20,60357.0,329248.0,57624.0,90567.0,329.0,4393.0
21,6261.0,400828.0,57745.0,41168.0,509.0,3734.0
22,85221.0,43.0,59122.0,41349.0,0.0,3800.0
23,59602.0,26.0,53431.0,41190.0,0.0,3800.0
