time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,60667.0,9.0,39948.0,74010.0,0.0,3540.0
1,6561.0,0.0,40334.0,78965.0,0.0,3800.0
2,69896.0,15.0,40534.0,79292.0,2.5,3800.0
3,46685.0,10.0,42037.0,130904.0,7.0,3859.0
4,29936.0,2.0,134724.0,185369.0,1.0,99203.0
5,69911.0,19.0,40918.0,131659.0,5.0,37231.0
6,5873.0,0.0,38465.0,2502.0,0.0,3568.0
7,75323.0,23.0,39498.0,2692.0,0.0,3660.0
8,46397.0,17.0,38970.0,2617.0,0.0,3616.0
9,32423.0,5.0,38979.0,2579.0,0.0,3612.0
10,74933.0,22.0,39575.0,2682.0,1.0,3660.0
11,5750.0,0.0,38500.0,2522.0,0.0,3568.0
12,77814.0,35.0,39608.0,2700.0,0.0,3664.0
13,18940.0,22.0,38717.0,2598.0,0.0,3584.0
14,65414.0,10.0,39360.0,2689.0,0.0,3648.0
15,79661.0,36.0,98711.0,51860.0,0.0,3780.0
16,5862.0,1.0,72161.0,57644.0,0.0,3800.0
17,78752.0,27.0,56430.0,54919.0,0.0,3804.0
18,38430.0,172.0,59971.0,101675.0,3.0,74835.0
19,44974.0,9.0,42373.0,78105.0,3.0,3804.0
20,75579.0,23.0,41786.0,78389.0,4.0,3800.0
21,6380.0,0.0,41854.0,78305.0,0.0,3800.0
22,74703.0,26.0,41691.0,79031.0,2.0,3800.0
23,60537.0,36.0,41803.0,79373.0,5.0,3804.0
