time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,39210.0,46.0,40949.0,41148.0,0.0,3800.0
1,40980.0,60.0,41259.0,41120.0,2.5,3800.0
2,49282.0,60.0,41126.0,41173.0,0.0,3800.0
3,58138.0,37.0,40822.0,54941.0,66.5,3796.0
4,41901.0,29.0,172612.0,293858.0,591.0,180523.0
5,39100.0,33.0,40704.0,100904.0,3.0,4596.0
6,36982.0,28.0,40699.0,100394.0,0.0,4522.0
7,36844.0,25.0,40679.0,100292.0,2.0,4512.0
8,38682.0,24.0,40768.0,100275.0,3.0,28734.0
9,55692.0,54.0,40716.0,100456.0,0.0,4494.0
10,54113.0,53.0,40711.0,100558.0,2.5,4515.0
11,37743.0,28.0,97255.0,194636.0,422.0,4708.0
12,38725.0,41.0,40676.0,100462.0,0.0,4564.0
13,38274.0,39.0,40754.0,106806.0,0.0,4492.0
14,38078.0,35.0,65087.0,108013.0,2.0,4408.0
15,46609.0,57.0,92403.0,148099.0,0.0,4301.0
16,61615.0,302.0,328025.0,151342.0,4.5,41417.0
17,62693.0,327.0,460430.0,150986.0,5.0,3811.0
18,61172.0,105.0,44353.0,151767.0,0.0,102834.0
19,172950.0,684.0,40475.0,144287.0,8.0,4466.0
20,78357.0,108.0,40328.0,105773.0,0.0,4395.0
21,57973.0,73.0,40177.0,104433.0,0.0,4633.0
22,50570.0,73.0,39962.0,133948.0,0.0,4724.0
23,43353.0,520.0,39960.0,142198.0,0.0,4706.0
