time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,108968.0,107.0,42936.0,79267.0,2.5,3804.0
1,57719.0,33.0,41627.0,79099.0,4.0,3800.0
2,44786.0,17.0,42003.0,78845.0,0.0,3800.0
3,47128.0,40.0,176023.0,154264.0,7.5,27588.0
4,48870.0,34.0,63210.0,188567.0,0.0,73364.0
5,46888.0,31.0,47169.0,117458.0,2.5,59546.0
6,17788.0,26.0,39367.0,2411.0,2.0,3580.0
7,39266.0,13.0,39744.0,2484.0,0.0,3612.0
8,45259.0,29.0,39763.0,2448.0,0.0,3620.0
9,47236.0,29.0,39814.0,2476.0,0.0,3628.0
10,46251.0,32.0,39818.0,2490.0,0.0,3624.0
11,47114.0,27.0,39779.0,2489.0,0.0,3624.0
12,45538.0,23.0,39645.0,2460.0,0.0,3612.0
13,36798.0,25.0,39635.0,2418.0,0.0,3604.0
14,57345.0,29.0,63747.0,116704.0,1.0,231680.0
15,22740.0,26.0,98924.0,134805.0,0.0,3989.0
16,33229.0,10.0,47600.0,190227.0,3.0,71996.0
17,50527.0,42.0,42369.0,138989.0,3.0,3813.0
18,50552.0,60.0,42153.0,77565.0,0.0,3799.0
19,49126.0,36.0,42178.0,77583.0,2.0,3800.0
20,50728.0,47.0,42069.0,78209.0,5.0,3800.0
21,50040.0,45.0,41848.0,78326.0,4.0,3800.0
22,31535.0,28.0,41678.0,78260.0,0.0,3800.0
23,22539.0,4.0,41590.0,78742.0,0.0,3804.0
