date,moisture,light,humidity,temperature,price
2 1 2017,83,73,38,61,89
2 1 2017,90,47,66,71,43
2 1 2017,56,65,69,71,45
2 1 2017,88,73,34,75,15
2 1 2017,74,71,62,50,51
3 1 2017,84,58,36,76,51
3 1 2017,76,71,35,80,53
3 1 2017,47,38,57,45,57
3 1 2017,76,34,28,56,16
3 1 2017,77,79,40,44,51
4 1 2017,43,41,24,58,17
4 1 2017,62,47,35,58,73
4 1 2017,80,62,47,48,64
4 1 2017,70,44,23,48,97
4 1 2017,85,45,51,50,94
5 1 2017,72,70,39,50,63
5 1 2017,40,70,61,51,46
5 1 2017,100,80,55,71,83
5 1 2017,69,34,48,46,97
5 1 2017,66,78,31,43,70
6 1 2017,77,33,61,46,99
6 1 2017,95,68,57,44,10
6 1 2017,70,76,51,76,45
6 1 2017,64,57,55,71,38
6 1 2017,89,42,31,74,68
7 1 2017,80,79,57,46,45
7 1 2017,63,58,66,66,79
7 1 2017,63,62,45,74,47
7 1 2017,95,42,23,49,15
7 1 2017,65,79,55,78,59
8 1 2017,87,67,24,55,96
8 1 2017,76,55,32,45,82
8 1 2017,54,66,68,66,64
8 1 2017,52,50,57,61,34
8 1 2017,99,78,43,68,12
9 1 2017,47,60,59,48,19
9 1 2017,59,78,46,69,26
9 1 2017,62,42,53,45,17
9 1 2017,92,61,42,70,82
9 1 2017,77,38,55,75,80
10 1 2017,43,78,28,47,44
10 1 2017,79,75,20,61,23
10 1 2017,98,43,23,76,48
10 1 2017,81,56,28,77,63
10 1 2017,46,77,66,41,83
11 1 2017,99,71,56,40,11
11 1 2017,40,42,60,46,28
11 1 2017,99,69,23,40,62
11 1 2017,58,46,43,63,32
11 1 2017,96,65,37,68,90
12 1 2017,82,66,49,65,42
12 1 2017,63,66,55,64,45
12 1 2017,90,63,48,64,78
12 1 2017,60,31,31,48,44
12 1 2017,73,33,53,76,63
13 1 2017,93,66,30,74,72
13 1 2017,65,50,64,58,64
13 1 2017,54,37,25,59,64
13 1 2017,89,66,27,74,90
13 1 2017,79,45,20,75,51
14 1 2017,99,54,20,56,35
14 1 2017,56,80,47,46,20
14 1 2017,90,45,36,56,49
14 1 2017,90,46,34,66,21
14 1 2017,81,80,60,73,32
15 1 2017,57,59,51,54,61
15 1 2017,97,66,67,62,92
15 1 2017,89,67,33,57,66
15 1 2017,42,69,68,80,75
15 1 2017,89,71,42,73,80
16 1 2017,42,39,53,46,78
16 1 2017,65,68,31,67,19
16 1 2017,84,44,41,67,39
